Epoch,Train Loss,Val Global Accuracy,Val Dice (DSC),Val IoU (Jaccard)
1,0.04433961228641745,0.9854965226820236,0.9670864142999975,0.9377296760010944
2,0.030814091114405716,0.9876318697235341,0.9715856711830753,0.9456461850042265
3,0.027624908750802157,0.9887650736514864,0.9744761019822212,0.9508824904191895
4,0.02633763028203582,0.9890807600813749,0.9750971826090838,0.9520439291323503
5,0.02587107745413294,0.9891226857847935,0.9751888706832333,0.9522144420135
6,0.02573180205540479,0.9891415260508262,0.9752890656871801,0.9523920846129419
7,0.025676635299946782,0.9891569804077508,0.975301897035814,0.9524169382307202
8,0.025672084644252923,0.98915940308894,0.9753087563555453,0.9524309793306085
9,0.025718157667317717,0.989168318847944,0.9753149612710696,0.9524491322465553
10,0.025688308852487032,0.9891511802471028,0.9753006148598232,0.9524127924765428
11,0.025678754912066046,0.9891298346893185,0.9752713676649609,0.9523629463098298
12,0.025621725624089053,0.989158038047741,0.9752991569432077,0.9524211762500427
13,0.0256588160488993,0.9891657309456299,0.9753382580643482,0.9524799216369636
14,0.025684628869998165,0.9891688403622431,0.9753216733792703,0.9524539105844413
15,0.025659816511945713,0.9891590614071578,0.9753209133234597,0.9524535099126763
