=== METRICS FOR jsrt ===

JPCLN001.png: DSC=0.6852, IoU=0.5211, HD95=90.34
JPCLN002.png: DSC=0.1222, IoU=0.0651, HD95=113.00
JPCLN003.png: DSC=0.6111, IoU=0.4400, HD95=169.22
JPCLN004.png: DSC=0.3367, IoU=0.2025, HD95=94.26
JPCLN005.png: DSC=0.6286, IoU=0.4584, HD95=113.98
JPCLN006.png: DSC=0.3660, IoU=0.2240, HD95=89.99
JPCLN007.png: DSC=0.6597, IoU=0.4922, HD95=94.79
JPCLN008.png: DSC=0.3030, IoU=0.1786, HD95=126.57
JPCLN009.png: DSC=0.6721, IoU=0.5062, HD95=91.96
JPCLN010.png: DSC=0.6041, IoU=0.4327, HD95=96.31
JPCLN011.png: DSC=0.6846, IoU=0.5205, HD95=86.58
JPCLN012.png: DSC=0.6581, IoU=0.4905, HD95=73.91
