=== METRICS: train/covid-19 ===

covid_1.png: DSC=0.7722, IoU=0.6290, Sens=0.9424, Spec=0.9076, MCC=0.7390, Kappa=0.7207, HD95=23.02, NSD=0.3827
covid_100.png: DSC=0.7936, IoU=0.6578, Sens=0.9566, Spec=0.9069, MCC=0.7597, Kappa=0.7423, HD95=21.56, NSD=0.3641
covid_101.png: DSC=0.7590, IoU=0.6117, Sens=0.8366, Spec=0.9381, MCC=0.7184, Kappa=0.7140, HD95=26.80, NSD=0.3238
covid_104.png: DSC=0.8726, IoU=0.7740, Sens=0.8048, Spec=0.9789, MCC=0.8197, Kappa=0.8134, HD95=14.14, NSD=0.2953
covid_106.png: DSC=0.8837, IoU=0.7916, Sens=0.8163, Spec=0.9907, MCC=0.8573, Kappa=0.8526, HD95=15.24, NSD=0.5222
covid_107.png: DSC=0.8210, IoU=0.6963, Sens=0.7116, Spec=0.9882, MCC=0.7644, Kappa=0.7460, HD95=22.70, NSD=0.3547
covid_108.png: DSC=0.9095, IoU=0.8340, Sens=0.9472, Spec=0.9566, MCC=0.8803, Kappa=0.8790, HD95=9.85, NSD=0.5080
covid_109.png: DSC=0.5868, IoU=0.4153, Sens=0.6406, Spec=0.8559, MCC=0.4680, Kappa=0.4652, HD95=39.00, NSD=0.1839
covid_11.png: DSC=0.8918, IoU=0.8047, Sens=0.8370, Spec=0.9828, MCC=0.8531, Kappa=0.8495, HD95=11.31, NSD=0.3835
covid_111.png: DSC=0.9034, IoU=0.8238, Sens=0.8968, Spec=0.9843, MCC=0.8864, Kappa=0.8864, HD95=7.00, NSD=0.5602
covid_112.png: DSC=0.8521, IoU=0.7423, Sens=0.8495, Spec=0.9622, MCC=0.8135, Kappa=0.8135, HD95=19.65, NSD=0.5215
covid_114.png: DSC=0.3201, IoU=0.1905, Sens=0.3339, Spec=0.8727, MCC=0.1996, Kappa=0.1994, HD95=94.27, NSD=0.1319
covid_115.png: DSC=0.4245, IoU=0.2694, Sens=0.3504, Spec=0.8854, MCC=0.2746, Kappa=0.2644, HD95=37.66, NSD=0.1917
covid_116.png: DSC=0.7036, IoU=0.5427, Sens=0.5579, Spec=0.9816, MCC=0.6249, Kappa=0.5807, HD95=31.79, NSD=0.2613
covid_118.png: DSC=0.8598, IoU=0.7540, Sens=0.8020, Spec=0.9698, MCC=0.8043, Kappa=0.8000, HD95=21.26, NSD=0.4124
covid_12.png: DSC=0.8815, IoU=0.7881, Sens=0.8316, Spec=0.9771, MCC=0.8393, Kappa=0.8364, HD95=15.65, NSD=0.3463
covid_120.png: DSC=0.8376, IoU=0.7205, Sens=0.7588, Spec=0.9685, MCC=0.7657, Kappa=0.7564, HD95=23.00, NSD=0.3409
covid_121.png: DSC=0.7064, IoU=0.5460, Sens=0.5785, Spec=0.9845, MCC=0.6737, Kappa=0.6499, HD95=43.30, NSD=0.1563
covid_123.png: DSC=0.9127, IoU=0.8394, Sens=0.9287, Spec=0.9688, MCC=0.8867, Kappa=0.8865, HD95=10.00, NSD=0.5719
covid_124.png: DSC=0.7814, IoU=0.6413, Sens=0.7286, Spec=0.9630, MCC=0.7305, Kappa=0.7275, HD95=21.01, NSD=0.1907
covid_125.png: DSC=0.8990, IoU=0.8165, Sens=0.8490, Spec=0.9830, MCC=0.8622, Kappa=0.8593, HD95=9.85, NSD=0.3789
covid_126.png: DSC=0.8561, IoU=0.7483, Sens=0.7809, Spec=0.9925, MCC=0.8392, Kappa=0.8340, HD95=24.60, NSD=0.3586
covid_127.png: DSC=0.8106, IoU=0.6815, Sens=0.6998, Spec=0.9842, MCC=0.7451, Kappa=0.7252, HD95=26.46, NSD=0.2201
covid_128.png: DSC=0.7705, IoU=0.6267, Sens=0.8594, Spec=0.9365, MCC=0.7320, Kappa=0.7265, HD95=19.92, NSD=0.2487
covid_129.png: DSC=0.9304, IoU=0.8699, Sens=0.9282, Spec=0.9867, MCC=0.9167, Kappa=0.9167, HD95=7.25, NSD=0.7145
covid_130.png: DSC=0.7196, IoU=0.5620, Sens=0.5640, Spec=0.9985, MCC=0.6889, Kappa=0.6458, HD95=41.30, NSD=0.1437
covid_131.png: DSC=0.8453, IoU=0.7320, Sens=0.7614, Spec=0.9835, MCC=0.8001, Kappa=0.7912, HD95=16.74, NSD=0.3110
covid_132.png: DSC=0.7518, IoU=0.6023, Sens=0.6090, Spec=0.9959, MCC=0.7195, Kappa=0.6874, HD95=26.83, NSD=0.2654
covid_133.png: DSC=0.9187, IoU=0.8496, Sens=0.8787, Spec=0.9888, MCC=0.8953, Kappa=0.8937, HD95=9.97, NSD=0.5329
covid_135.png: DSC=0.7612, IoU=0.6145, Sens=0.6403, Spec=0.9818, MCC=0.7061, Kappa=0.6836, HD95=25.00, NSD=0.2447
covid_136.png: DSC=0.8926, IoU=0.8061, Sens=0.8676, Spec=0.9837, MCC=0.8711, Kappa=0.8706, HD95=8.56, NSD=0.4375
covid_137.png: DSC=0.9289, IoU=0.8672, Sens=0.9008, Spec=0.9851, MCC=0.9034, Kappa=0.9026, HD95=8.49, NSD=0.5869
covid_139.png: DSC=0.9173, IoU=0.8473, Sens=0.9328, Spec=0.9629, MCC=0.8865, Kappa=0.8863, HD95=13.00, NSD=0.5739
covid_14.png: DSC=0.8807, IoU=0.7869, Sens=0.7977, Spec=0.9938, MCC=0.8436, Kappa=0.8348, HD95=18.38, NSD=0.4626
covid_140.png: DSC=0.8495, IoU=0.7384, Sens=0.8640, Spec=0.9084, MCC=0.7666, Kappa=0.7664, HD95=27.72, NSD=0.3320
covid_142.png: DSC=0.7345, IoU=0.5804, Sens=0.9492, Spec=0.8447, MCC=0.6812, Kappa=0.6502, HD95=30.21, NSD=0.3050
covid_144.png: DSC=0.7586, IoU=0.6111, Sens=0.7699, Spec=0.9242, MCC=0.6870, Kappa=0.6869, HD95=22.63, NSD=0.2139
covid_148.png: DSC=0.9176, IoU=0.8478, Sens=0.9209, Spec=0.9773, MCC=0.8959, Kappa=0.8959, HD95=8.06, NSD=0.5768
covid_15.png: DSC=0.8944, IoU=0.8090, Sens=0.8423, Spec=0.9868, MCC=0.8662, Kappa=0.8634, HD95=10.63, NSD=0.3217
covid_150.png: DSC=0.8833, IoU=0.7909, Sens=0.9399, Spec=0.9271, MCC=0.8373, Kappa=0.8342, HD95=23.08, NSD=0.4443
covid_151.png: DSC=0.8089, IoU=0.6791, Sens=0.7211, Spec=0.9804, MCC=0.7669, Kappa=0.7577, HD95=19.13, NSD=0.3318
covid_152.png: DSC=0.3790, IoU=0.2338, Sens=0.5014, Spec=0.8546, MCC=0.2897, Kappa=0.2777, HD95=51.55, NSD=0.0952
covid_153.png: DSC=0.6162, IoU=0.4453, Sens=0.5211, Spec=0.9179, MCC=0.4926, Kappa=0.4772, HD95=40.81, NSD=0.1608
covid_154.png: DSC=0.8298, IoU=0.7091, Sens=0.8543, Spec=0.9576, MCC=0.7938, Kappa=0.7934, HD95=21.21, NSD=0.4480
