=== METRICS: train/jsrt ===

JPCLN001.png: DSC=0.8767, IoU=0.7805, Sens=0.8172, Spec=0.9762, MCC=0.8256, Kappa=0.8210, HD95=17.46, NSD=0.3623
JPCLN002.png: DSC=0.8852, IoU=0.7941, Sens=0.9216, Spec=0.9553, MCC=0.8527, Kappa=0.8516, HD95=11.18, NSD=0.4639
JPCLN003.png: DSC=0.8925, IoU=0.8059, Sens=0.8868, Spec=0.9714, MCC=0.8622, Kappa=0.8621, HD95=12.00, NSD=0.4920
JPCLN004.png: DSC=0.9349, IoU=0.8777, Sens=0.8993, Spec=0.9896, MCC=0.9103, Kappa=0.9089, HD95=6.08, NSD=0.5788
JPCLN005.png: DSC=0.9210, IoU=0.8535, Sens=0.9045, Spec=0.9810, MCC=0.8967, Kappa=0.8964, HD95=7.27, NSD=0.4662
JPCLN006.png: DSC=0.9241, IoU=0.8590, Sens=0.8750, Spec=0.9924, MCC=0.8982, Kappa=0.8955, HD95=8.06, NSD=0.5159
JPCLN007.png: DSC=0.9205, IoU=0.8526, Sens=0.8812, Spec=0.9832, MCC=0.8851, Kappa=0.8832, HD95=8.00, NSD=0.4316
JPCLN008.png: DSC=0.9214, IoU=0.8543, Sens=0.8649, Spec=0.9920, MCC=0.8806, Kappa=0.8759, HD95=9.00, NSD=0.3947
JPCLN009.png: DSC=0.9156, IoU=0.8443, Sens=0.8813, Spec=0.9812, MCC=0.8827, Kappa=0.8814, HD95=10.00, NSD=0.4535
JPCLN010.png: DSC=0.8868, IoU=0.7967, Sens=0.8432, Spec=0.9812, MCC=0.8548, Kappa=0.8528, HD95=19.18, NSD=0.4053
JPCLN011.png: DSC=0.8935, IoU=0.8075, Sens=0.8417, Spec=0.9815, MCC=0.8542, Kappa=0.8510, HD95=20.00, NSD=0.3773
JPCLN012.png: DSC=0.8493, IoU=0.7381, Sens=0.7683, Spec=0.9811, MCC=0.7986, Kappa=0.7899, HD95=19.22, NSD=0.2412
JPCLN013.png: DSC=0.9221, IoU=0.8554, Sens=0.8938, Spec=0.9828, MCC=0.8944, Kappa=0.8935, HD95=6.32, NSD=0.4256
JPCLN014.png: DSC=0.9126, IoU=0.8393, Sens=0.8448, Spec=0.9972, MCC=0.8846, Kappa=0.8792, HD95=10.71, NSD=0.4273
JPCLN015.png: DSC=0.9006, IoU=0.8191, Sens=0.8643, Spec=0.9777, MCC=0.8641, Kappa=0.8626, HD95=13.78, NSD=0.3701
JPCLN016.png: DSC=0.8522, IoU=0.7424, Sens=0.8712, Spec=0.9376, MCC=0.7978, Kappa=0.7974, HD95=29.49, NSD=0.3042
JPCLN017.png: DSC=0.8683, IoU=0.7673, Sens=0.8056, Spec=0.9785, MCC=0.8226, Kappa=0.8179, HD95=15.56, NSD=0.2637
JPCLN018.png: DSC=0.8630, IoU=0.7590, Sens=0.7708, Spec=0.9864, MCC=0.7834, Kappa=0.7670, HD95=20.87, NSD=0.3152
JPCLN019.png: DSC=0.9006, IoU=0.8192, Sens=0.8315, Spec=0.9927, MCC=0.8642, Kappa=0.8581, HD95=10.67, NSD=0.3504
