=== METRICS: train/normal ===

Normal (1407).png: DSC=0.9024, IoU=0.8221, Sens=0.8592, Spec=0.9858, MCC=0.8755, Kappa=0.8736, HD95=12.37, NSD=0.5052
Normal (1408).png: DSC=0.9098, IoU=0.8345, Sens=0.9590, Spec=0.9581, MCC=0.8847, Kappa=0.8827, HD95=9.44, NSD=0.4744
Normal (1409).png: DSC=0.9166, IoU=0.8460, Sens=0.8524, Spec=0.9965, MCC=0.8871, Kappa=0.8820, HD95=12.00, NSD=0.4997
Normal (1410).png: DSC=0.9117, IoU=0.8377, Sens=0.9443, Spec=0.9473, MCC=0.8744, Kappa=0.8733, HD95=12.00, NSD=0.4528
Normal (1411).png: DSC=0.9293, IoU=0.8679, Sens=0.9326, Spec=0.9757, MCC=0.9062, Kappa=0.9062, HD95=8.51, NSD=0.5939
Normal (1412).png: DSC=0.8897, IoU=0.8013, Sens=0.9320, Spec=0.9510, MCC=0.8561, Kappa=0.8546, HD95=15.00, NSD=0.4663
Normal (1413).png: DSC=0.9398, IoU=0.8864, Sens=0.9119, Spec=0.9859, MCC=0.9125, Kappa=0.9116, HD95=7.21, NSD=0.5391
Normal (1414).png: DSC=0.8678, IoU=0.7665, Sens=0.7949, Spec=0.9826, MCC=0.8205, Kappa=0.8136, HD95=19.65, NSD=0.3955
Normal (1415).png: DSC=0.9117, IoU=0.8377, Sens=0.8941, Spec=0.9793, MCC=0.8855, Kappa=0.8852, HD95=9.85, NSD=0.5218
Normal (1416).png: DSC=0.9273, IoU=0.8645, Sens=0.9588, Spec=0.9547, MCC=0.8967, Kappa=0.8957, HD95=10.63, NSD=0.5918
Normal (1417).png: DSC=0.8445, IoU=0.7309, Sens=0.9365, Spec=0.9166, MCC=0.7993, Kappa=0.7924, HD95=24.00, NSD=0.3016
Normal (1418).png: DSC=0.9341, IoU=0.8764, Sens=0.9532, Spec=0.9664, MCC=0.9085, Kappa=0.9082, HD95=7.00, NSD=0.5631
Normal (1419).png: DSC=0.8333, IoU=0.7143, Sens=0.7396, Spec=0.9844, MCC=0.7845, Kappa=0.7727, HD95=23.52, NSD=0.3652
Normal (1420).png: DSC=0.9043, IoU=0.8252, Sens=0.9493, Spec=0.9620, MCC=0.8802, Kappa=0.8786, HD95=13.00, NSD=0.5197
Normal (1421).png: DSC=0.9221, IoU=0.8555, Sens=0.9413, Spec=0.9710, MCC=0.8993, Kappa=0.8990, HD95=12.04, NSD=0.6223
Normal (1422).png: DSC=0.9122, IoU=0.8386, Sens=0.9090, Spec=0.9638, MCC=0.8746, Kappa=0.8745, HD95=9.00, NSD=0.4572
Normal (1423).png: DSC=0.8760, IoU=0.7794, Sens=0.9626, Spec=0.9331, MCC=0.8425, Kappa=0.8365, HD95=19.95, NSD=0.4788
Normal (1424).png: DSC=0.8923, IoU=0.8056, Sens=0.8204, Spec=0.9921, MCC=0.8579, Kappa=0.8517, HD95=13.60, NSD=0.4937
Normal (1425).png: DSC=0.8469, IoU=0.7344, Sens=0.7554, Spec=0.9897, MCC=0.8106, Kappa=0.8004, HD95=19.00, NSD=0.2909
Normal (1426).png: DSC=0.7627, IoU=0.6164, Sens=0.6400, Spec=0.9837, MCC=0.7101, Kappa=0.6870, HD95=53.11, NSD=0.2374
Normal (1427).png: DSC=0.9244, IoU=0.8594, Sens=0.9149, Spec=0.9730, MCC=0.8933, Kappa=0.8932, HD95=11.18, NSD=0.5659
Normal (1428).png: DSC=0.8856, IoU=0.7947, Sens=0.9294, Spec=0.9543, MCC=0.8545, Kappa=0.8529, HD95=11.09, NSD=0.3738
Normal (1429).png: DSC=0.8177, IoU=0.6916, Sens=0.9609, Spec=0.9265, MCC=0.7902, Kappa=0.7770, HD95=26.42, NSD=0.4442
Normal (1430).png: DSC=0.9002, IoU=0.8185, Sens=0.8336, Spec=0.9903, MCC=0.8597, Kappa=0.8537, HD95=13.44, NSD=0.3875
Normal (1431).png: DSC=0.8604, IoU=0.7550, Sens=0.9462, Spec=0.9349, MCC=0.8260, Kappa=0.8203, HD95=24.07, NSD=0.4997
Normal (1432).png: DSC=0.9217, IoU=0.8548, Sens=0.9392, Spec=0.9666, MCC=0.8948, Kappa=0.8946, HD95=8.00, NSD=0.4828
Normal (1433).png: DSC=0.9416, IoU=0.8896, Sens=0.9654, Spec=0.9686, MCC=0.9198, Kappa=0.9193, HD95=6.71, NSD=0.6263
Normal (1434).png: DSC=0.7235, IoU=0.5668, Sens=0.9269, Spec=0.8494, MCC=0.6671, Kappa=0.6392, HD95=37.94, NSD=0.2935
Normal (1435).png: DSC=0.8902, IoU=0.8021, Sens=0.9530, Spec=0.9395, MCC=0.8552, Kappa=0.8518, HD95=22.17, NSD=0.3664
Normal (1436).png: DSC=0.9200, IoU=0.8519, Sens=0.8724, Spec=0.9923, MCC=0.8985, Kappa=0.8962, HD95=7.28, NSD=0.5446
Normal (1437).png: DSC=0.7351, IoU=0.5811, Sens=0.5815, Spec=0.9997, MCC=0.7013, Kappa=0.6597, HD95=45.49, NSD=0.1675
Normal (1438).png: DSC=0.9515, IoU=0.9076, Sens=0.9455, Spec=0.9840, MCC=0.9332, Kappa=0.9331, HD95=5.00, NSD=0.6812
Normal (1439).png: DSC=0.9279, IoU=0.8655, Sens=0.9345, Spec=0.9657, MCC=0.8966, Kappa=0.8966, HD95=10.43, NSD=0.5684
Normal (1440).png: DSC=0.6304, IoU=0.4602, Sens=0.7622, Spec=0.7901, MCC=0.4983, Kappa=0.4835, HD95=36.67, NSD=0.0679
