=== METRICS: train/tb ===

CHNCXR_10_0.png: DSC=0.8969, IoU=0.8131, Sens=0.8342, Spec=0.9952, MCC=0.8830, Kappa=0.8796, HD95=8.06, NSD=0.4674
CHNCXR_11_0.png: DSC=0.8277, IoU=0.7060, Sens=0.7118, Spec=0.9978, MCC=0.8065, Kappa=0.7906, HD95=22.98, NSD=0.3688
CHNCXR_12_0.png: DSC=0.8201, IoU=0.6950, Sens=0.6980, Spec=0.9985, MCC=0.7900, Kappa=0.7700, HD95=49.06, NSD=0.3694
CHNCXR_13_0.png: DSC=0.8509, IoU=0.7405, Sens=0.7467, Spec=0.9977, MCC=0.8294, Kappa=0.8172, HD95=17.20, NSD=0.3965
CHNCXR_14_0.png: DSC=0.8796, IoU=0.7851, Sens=0.7903, Spec=0.9984, MCC=0.8619, Kappa=0.8538, HD95=13.00, NSD=0.4499
CHNCXR_15_0.png: DSC=0.8868, IoU=0.7966, Sens=0.8056, Spec=0.9967, MCC=0.8647, Kappa=0.8578, HD95=10.03, NSD=0.4627
CHNCXR_16_0.png: DSC=0.8107, IoU=0.6817, Sens=0.6831, Spec=0.9995, MCC=0.7932, Kappa=0.7731, HD95=33.00, NSD=0.3816
CHNCXR_17_0.png: DSC=0.8976, IoU=0.8142, Sens=0.8202, Spec=0.9977, MCC=0.8761, Kappa=0.8698, HD95=8.03, NSD=0.3834
CHNCXR_18_0.png: DSC=0.8946, IoU=0.8092, Sens=0.8129, Spec=0.9982, MCC=0.8653, Kappa=0.8573, HD95=11.66, NSD=0.3841
CHNCXR_19_0.png: DSC=0.9050, IoU=0.8265, Sens=0.8331, Spec=0.9973, MCC=0.8819, Kappa=0.8763, HD95=8.49, NSD=0.4454
CHNCXR_1_0.png: DSC=0.8116, IoU=0.6829, Sens=0.6872, Spec=0.9979, MCC=0.7844, Kappa=0.7640, HD95=23.26, NSD=0.2216
CHNCXR_20_0.png: DSC=0.8632, IoU=0.7594, Sens=0.7713, Spec=0.9928, MCC=0.8219, Kappa=0.8106, HD95=26.15, NSD=0.4085
CHNCXR_21_0.png: DSC=0.9040, IoU=0.8249, Sens=0.8330, Spec=0.9966, MCC=0.8805, Kappa=0.8750, HD95=10.00, NSD=0.4444
CHNCXR_22_0.png: DSC=0.8198, IoU=0.6946, Sens=0.6963, Spec=0.9991, MCC=0.7890, Kappa=0.7682, HD95=20.84, NSD=0.2689
CHNCXR_23_0.png: DSC=0.8739, IoU=0.7760, Sens=0.7792, Spec=0.9986, MCC=0.8492, Kappa=0.8389, HD95=12.01, NSD=0.3254
CHNCXR_24_0.png: DSC=0.9141, IoU=0.8418, Sens=0.8510, Spec=0.9968, MCC=0.8957, Kappa=0.8918, HD95=7.00, NSD=0.4911
CHNCXR_26_0.png: DSC=0.9098, IoU=0.8345, Sens=0.8471, Spec=0.9959, MCC=0.8914, Kappa=0.8876, HD95=7.41, NSD=0.4825
CHNCXR_27_0.png: DSC=0.8841, IoU=0.7922, Sens=0.8023, Spec=0.9968, MCC=0.8653, Kappa=0.8586, HD95=8.60, NSD=0.4142
CHNCXR_28_0.png: DSC=0.8479, IoU=0.7359, Sens=0.7437, Spec=0.9950, MCC=0.8050, Kappa=0.7898, HD95=28.09, NSD=0.4385
CHNCXR_29_0.png: DSC=0.8232, IoU=0.6996, Sens=0.7078, Spec=0.9978, MCC=0.8106, Kappa=0.7961, HD95=17.46, NSD=0.3797
CHNCXR_2_0.png: DSC=0.8049, IoU=0.6736, Sens=0.6955, Spec=0.9910, MCC=0.7757, Kappa=0.7612, HD95=29.93, NSD=0.4079
CHNCXR_30_0.png: DSC=0.8575, IoU=0.7506, Sens=0.7570, Spec=0.9956, MCC=0.8130, Kappa=0.7985, HD95=29.07, NSD=0.4435
CHNCXR_31_0.png: DSC=0.8005, IoU=0.6674, Sens=0.6691, Spec=0.9991, MCC=0.7740, Kappa=0.7503, HD95=25.00, NSD=0.2881
CHNCXR_32_0.png: DSC=0.8410, IoU=0.7256, Sens=0.7303, Spec=0.9980, MCC=0.8157, Kappa=0.8008, HD95=27.22, NSD=0.4848
CHNCXR_33_0.png: DSC=0.8487, IoU=0.7372, Sens=0.7404, Spec=0.9984, MCC=0.8196, Kappa=0.8048, HD95=26.31, NSD=0.4808
CHNCXR_34_0.png: DSC=0.8252, IoU=0.7024, Sens=0.7109, Spec=0.9976, MCC=0.8112, Kappa=0.7969, HD95=24.04, NSD=0.4778
CHNCXR_35_0.png: DSC=0.8847, IoU=0.7932, Sens=0.8021, Spec=0.9976, MCC=0.8695, Kappa=0.8629, HD95=10.63, NSD=0.3944
CHNCXR_3_0.png: DSC=0.8244, IoU=0.7012, Sens=0.7046, Spec=0.9985, MCC=0.7989, Kappa=0.7807, HD95=26.47, NSD=0.3884
