=== METRICS FOR JSRT ===

JPCLN001.png: DSC=0.4965, IoU=0.3303, HD95=139.97
JPCLN002.png: DSC=0.8456, IoU=0.7325, HD95=83.85
JPCLN003.png: DSC=0.8615, IoU=0.7567, HD95=47.41
JPCLN004.png: DSC=0.0089, IoU=0.0045, HD95=237.84
JPCLN005.png: DSC=0.4884, IoU=0.3231, HD95=113.74
JPCLN006.png: DSC=0.8722, IoU=0.7733, HD95=26.93
JPCLN007.png: DSC=0.8735, IoU=0.7753, HD95=50.41
JPCLN008.png: DSC=0.8579, IoU=0.7511, HD95=42.00
JPCLN009.png: DSC=0.5037, IoU=0.3366, HD95=122.19
JPCLN010.png: DSC=0.8392, IoU=0.7230, HD95=51.58
JPCLN011.png: DSC=0.5669, IoU=0.3956, HD95=79.58
JPCLN012.png: DSC=0.5952, IoU=0.4237, HD95=108.90
JPCLN013.png: DSC=0.8774, IoU=0.7816, HD95=24.19
JPCLN014.png: DSC=0.8925, IoU=0.8059, HD95=24.86
JPCLN015.png: DSC=0.5969, IoU=0.4254, HD95=91.31
JPCLN016.png: DSC=0.7993, IoU=0.6657, HD95=113.10
JPCLN017.png: DSC=0.5035, IoU=0.3365, HD95=121.11
JPCLN018.png: DSC=0.8993, IoU=0.8170, HD95=40.18
JPCLN019.png: DSC=0.8722, IoU=0.7733, HD95=33.01
JPCLN020.png: DSC=0.8516, IoU=0.7416, HD95=75.00
JPCLN021.png: DSC=0.8219, IoU=0.6977, HD95=71.28
JPCLN022.png: DSC=0.8785, IoU=0.7833, HD95=31.00
JPCLN023.png: DSC=0.8755, IoU=0.7786, HD95=27.00
JPCLN024.png: DSC=0.8964, IoU=0.8123, HD95=22.53
JPCLN025.png: DSC=0.8544, IoU=0.7458, HD95=27.17
JPCLN026.png: DSC=0.5089, IoU=0.3413, HD95=135.68
JPCLN027.png: DSC=0.8821, IoU=0.7891, HD95=29.73
JPCLN028.png: DSC=0.8581, IoU=0.7515, HD95=39.61
JPCLN029.png: DSC=0.5099, IoU=0.3422, HD95=140.22
JPCLN030.png: DSC=0.8723, IoU=0.7735, HD95=38.59
JPCLN031.png: DSC=0.8703, IoU=0.7704, HD95=25.18
JPCLN032.png: DSC=0.8829, IoU=0.7904, HD95=24.00
JPCLN033.png: DSC=0.6651, IoU=0.4982, HD95=88.00
JPCLN034.png: DSC=0.7740, IoU=0.6314, HD95=74.47
JPCLN035.png: DSC=0.8944, IoU=0.8089, HD95=28.64
JPCLN036.png: DSC=0.8860, IoU=0.7953, HD95=28.00
JPCLN037.png: DSC=0.8674, IoU=0.7659, HD95=26.65
JPCLN038.png: DSC=0.9004, IoU=0.8188, HD95=20.00
JPCLN039.png: DSC=0.8476, IoU=0.7355, HD95=42.03
JPCLN040.png: DSC=0.5247, IoU=0.3556, HD95=84.10
JPCLN041.png: DSC=0.9215, IoU=0.8544, HD95=19.70
JPCLN042.png: DSC=0.5079, IoU=0.3404, HD95=115.70
JPCLN043.png: DSC=0.5203, IoU=0.3516, HD95=99.37
JPCLN044.png: DSC=0.8788, IoU=0.7839, HD95=28.16
JPCLN045.png: DSC=0.5056, IoU=0.3383, HD95=85.49
JPCLN046.png: DSC=0.8851, IoU=0.7939, HD95=21.37
JPCLN047.png: DSC=0.8412, IoU=0.7260, HD95=34.00
JPCLN048.png: DSC=0.8673, IoU=0.7657, HD95=43.55
JPCLN049.png: DSC=0.9010, IoU=0.8199, HD95=24.04
JPCLN050.png: DSC=0.8951, IoU=0.8101, HD95=29.17
JPCLN051.png: DSC=0.8912, IoU=0.8038, HD95=48.08
JPCLN052.png: DSC=0.8867, IoU=0.7965, HD95=21.97
JPCLN053.png: DSC=0.8801, IoU=0.7858, HD95=32.33
JPCLN054.png: DSC=0.8932, IoU=0.8070, HD95=23.12
JPCLN055.png: DSC=0.9059, IoU=0.8279, HD95=21.00
JPCLN056.png: DSC=0.8917, IoU=0.8045, HD95=30.14
JPCLN057.png: DSC=0.8434, IoU=0.7293, HD95=31.76
JPCLN058.png: DSC=0.9029, IoU=0.8229, HD95=31.05
JPCLN059.png: DSC=0.8826, IoU=0.7898, HD95=26.40
JPCLN060.png: DSC=0.8923, IoU=0.8055, HD95=20.62
JPCLN061.png: DSC=0.5314, IoU=0.3618, HD95=92.48
JPCLN062.png: DSC=0.8926, IoU=0.8061, HD95=25.08
JPCLN063.png: DSC=0.0576, IoU=0.0296, HD95=146.40
JPCLN064.png: DSC=0.8553, IoU=0.7473, HD95=49.01
JPCLN065.png: DSC=0.8996, IoU=0.8174, HD95=19.85
JPCLN066.png: DSC=0.8620, IoU=0.7575, HD95=42.43
JPCLN067.png: DSC=0.8829, IoU=0.7904, HD95=26.57
JPCLN068.png: DSC=0.8942, IoU=0.8087, HD95=27.46
JPCLN069.png: DSC=0.8838, IoU=0.7918, HD95=23.54
JPCLN070.png: DSC=0.8323, IoU=0.7128, HD95=137.77
JPCLN071.png: DSC=0.8763, IoU=0.7798, HD95=22.00
JPCLN072.png: DSC=0.8680, IoU=0.7668, HD95=44.55
JPCLN073.png: DSC=0.8788, IoU=0.7838, HD95=27.51
JPCLN074.png: DSC=0.0554, IoU=0.0285, HD95=195.62
JPCLN075.png: DSC=0.8670, IoU=0.7652, HD95=38.28
JPCLN076.png: DSC=0.8603, IoU=0.7549, HD95=34.01
JPCLN077.png: DSC=0.7069, IoU=0.5467, HD95=79.00
JPCLN078.png: DSC=0.8749, IoU=0.7776, HD95=29.00
JPCLN079.png: DSC=0.5360, IoU=0.3662, HD95=76.72
JPCLN080.png: DSC=0.8696, IoU=0.7692, HD95=27.02
JPCLN081.png: DSC=0.8499, IoU=0.7390, HD95=36.00
JPCLN082.png: DSC=0.6224, IoU=0.4518, HD95=107.02
JPCLN083.png: DSC=0.8799, IoU=0.7855, HD95=29.27
JPCLN084.png: DSC=0.8982, IoU=0.8152, HD95=22.74
JPCLN085.png: DSC=0.8972, IoU=0.8135, HD95=20.58
JPCLN086.png: DSC=0.8775, IoU=0.7817, HD95=32.27
JPCLN087.png: DSC=0.8907, IoU=0.8030, HD95=26.57
JPCLN088.png: DSC=0.8488, IoU=0.7373, HD95=47.66
JPCLN089.png: DSC=0.5527, IoU=0.3819, HD95=133.28
JPCLN090.png: DSC=0.5488, IoU=0.3782, HD95=153.27
JPCLN091.png: DSC=0.8651, IoU=0.7622, HD95=27.02
JPCLN092.png: DSC=0.6278, IoU=0.4575, HD95=80.67
JPCLN093.png: DSC=0.8545, IoU=0.7460, HD95=41.77
JPCLN094.png: DSC=0.8909, IoU=0.8033, HD95=26.08
JPCLN095.png: DSC=0.8707, IoU=0.7710, HD95=23.61
JPCLN096.png: DSC=0.8854, IoU=0.7943, HD95=29.00
JPCLN097.png: DSC=0.0162, IoU=0.0082, HD95=176.29
JPCLN098.png: DSC=0.8593, IoU=0.7533, HD95=30.94
JPCLN099.png: DSC=0.9032, IoU=0.8234, HD95=21.56
JPCLN100.png: DSC=0.6767, IoU=0.5114, HD95=93.36
JPCLN101.png: DSC=0.4803, IoU=0.3160, HD95=123.64
JPCLN102.png: DSC=0.8876, IoU=0.7979, HD95=29.00
JPCLN103.png: DSC=0.7635, IoU=0.6175, HD95=69.00
JPCLN104.png: DSC=0.8963, IoU=0.8121, HD95=22.81
JPCLN105.png: DSC=0.5842, IoU=0.4127, HD95=149.33
JPCLN106.png: DSC=0.8640, IoU=0.7605, HD95=35.85
