=== METRICS: train/covid-19 ===

covid_1.png: DSC=0.5227, IoU=0.3538, Sens=0.3603, Spec=0.9966, MCC=0.5492, Kappa=0.4778, HD95=86.12, NSD=0.1293
covid_100.png: DSC=0.8744, IoU=0.7769, Sens=0.7966, Spec=0.9948, MCC=0.8574, Kappa=0.8517, HD95=24.76, NSD=0.2442
covid_101.png: DSC=0.4773, IoU=0.3135, Sens=1.0000, Spec=0.6311, MCC=0.4448, Kappa=0.3303, HD95=126.58, NSD=0.0000
covid_104.png: DSC=0.8900, IoU=0.8017, Sens=0.8718, Spec=0.9537, MCC=0.8339, Kappa=0.8335, HD95=30.41, NSD=0.1509
covid_106.png: DSC=0.9053, IoU=0.8270, Sens=0.8375, Spec=0.9962, MCC=0.8846, Kappa=0.8799, HD95=19.70, NSD=0.2615
covid_107.png: DSC=0.4823, IoU=0.3177, Sens=0.3248, Spec=0.9881, MCC=0.4573, Kappa=0.3689, HD95=99.63, NSD=0.0927
covid_108.png: DSC=0.5879, IoU=0.4164, Sens=0.4607, Spec=0.9659, MCC=0.5309, Kappa=0.5002, HD95=233.60, NSD=0.0904
covid_109.png: DSC=0.0680, IoU=0.0352, Sens=0.0444, Spec=0.9301, MCC=-0.0423, Kappa=-0.0342, HD95=311.99, NSD=0.0252
covid_11.png: DSC=0.8670, IoU=0.7652, Sens=0.7876, Spec=0.9875, MCC=0.8257, Kappa=0.8178, HD95=38.63, NSD=0.2306
covid_111.png: DSC=0.7285, IoU=0.5730, Sens=0.5971, Spec=0.9925, MCC=0.7150, Kappa=0.6924, HD95=64.98, NSD=0.2169
covid_112.png: DSC=0.8929, IoU=0.8066, Sens=0.8227, Spec=0.9948, MCC=0.8727, Kappa=0.8678, HD95=25.00, NSD=0.2668
covid_114.png: DSC=0.6818, IoU=0.5173, Sens=0.5173, Spec=1.0000, MCC=0.6915, Kappa=0.6470, HD95=89.63, NSD=0.0266
covid_115.png: DSC=0.5118, IoU=0.3439, Sens=0.3460, Spec=0.9976, MCC=0.5185, Kappa=0.4298, HD95=226.82, NSD=0.1196
covid_116.png: DSC=0.1183, IoU=0.0629, Sens=0.0703, Spec=0.9225, MCC=-0.0134, Kappa=-0.0084, HD95=155.78, NSD=0.0332
covid_118.png: DSC=0.9007, IoU=0.8194, Sens=0.8460, Spec=0.9846, MCC=0.8617, Kappa=0.8580, HD95=35.00, NSD=0.2549
covid_12.png: DSC=0.8598, IoU=0.7541, Sens=0.8857, Spec=0.9276, MCC=0.7999, Kappa=0.7992, HD95=77.80, NSD=0.1461
covid_120.png: DSC=0.0664, IoU=0.0343, Sens=0.0378, Spec=0.9408, MCC=-0.0470, Kappa=-0.0260, HD95=116.72, NSD=0.0618
covid_121.png: DSC=0.6355, IoU=0.4657, Sens=0.4657, Spec=1.0000, MCC=0.6392, Kappa=0.5802, HD95=120.28, NSD=0.0530
covid_123.png: DSC=0.8771, IoU=0.7811, Sens=0.8595, Spec=0.9706, MCC=0.8423, Kappa=0.8420, HD95=25.67, NSD=0.1763
covid_124.png: DSC=0.0082, IoU=0.0041, Sens=0.0043, Spec=0.9893, MCC=-0.0274, Kappa=-0.0099, HD95=163.75, NSD=0.0435
covid_125.png: DSC=0.8913, IoU=0.8040, Sens=0.8445, Spec=0.9784, MCC=0.8509, Kappa=0.8484, HD95=23.60, NSD=0.1483
covid_126.png: DSC=0.8517, IoU=0.7418, Sens=0.7591, Spec=0.9960, MCC=0.8381, Kappa=0.8298, HD95=62.18, NSD=0.1963
covid_127.png: DSC=0.8765, IoU=0.7802, Sens=0.8047, Spec=0.9816, MCC=0.8215, Kappa=0.8140, HD95=31.83, NSD=0.1340
covid_128.png: DSC=0.6815, IoU=0.5168, Sens=0.6756, Spec=0.9475, MCC=0.6276, Kappa=0.6276, HD95=55.10, NSD=0.0628
covid_129.png: DSC=0.8354, IoU=0.7173, Sens=0.7226, Spec=0.9985, MCC=0.8223, Kappa=0.8087, HD95=34.45, NSD=0.2368
covid_130.png: DSC=0.6425, IoU=0.4733, Sens=0.4748, Spec=0.9987, MCC=0.6223, Kappa=0.5607, HD95=111.81, NSD=0.0700
covid_131.png: DSC=0.4261, IoU=0.2707, Sens=0.2723, Spec=0.9976, MCC=0.4495, Kappa=0.3429, HD95=249.53, NSD=0.0765
covid_132.png: DSC=0.3494, IoU=0.2117, Sens=0.2117, Spec=1.0000, MCC=0.4050, Kappa=0.2818, HD95=159.22, NSD=0.0158
