=== METRICS: train/jsrt ===

JPCLN001.png: DSC=0.4801, IoU=0.3159, Sens=0.3251, Spec=0.9854, MCC=0.4532, Kappa=0.3697, HD95=166.59, NSD=0.1352
JPCLN002.png: DSC=0.8491, IoU=0.7378, Sens=0.8534, Spec=0.9566, MCC=0.8071, Kappa=0.8070, HD95=52.02, NSD=0.1208
JPCLN003.png: DSC=0.5410, IoU=0.3708, Sens=0.4016, Spec=0.9763, MCC=0.5068, Kappa=0.4632, HD95=256.77, NSD=0.0770
JPCLN004.png: DSC=0.0011, IoU=0.0005, Sens=0.0005, Spec=0.9970, MCC=-0.0240, Kappa=-0.0035, HD95=364.18, NSD=0.0205
JPCLN005.png: DSC=0.4830, IoU=0.3184, Sens=0.3374, Spec=0.9810, MCC=0.4628, Kappa=0.4007, HD95=264.58, NSD=0.0624
JPCLN006.png: DSC=0.8623, IoU=0.7579, Sens=0.8090, Spec=0.9724, MCC=0.8143, Kappa=0.8109, HD95=27.19, NSD=0.1346
JPCLN007.png: DSC=0.8720, IoU=0.7730, Sens=0.8298, Spec=0.9632, MCC=0.8148, Kappa=0.8126, HD95=36.72, NSD=0.1935
JPCLN008.png: DSC=0.8405, IoU=0.7249, Sens=0.7406, Spec=0.9860, MCC=0.7748, Kappa=0.7584, HD95=43.93, NSD=0.1592
JPCLN009.png: DSC=0.4987, IoU=0.3322, Sens=0.3395, Spec=0.9905, MCC=0.4864, Kappa=0.4037, HD95=292.94, NSD=0.1043
JPCLN010.png: DSC=0.8329, IoU=0.7136, Sens=0.7462, Spec=0.9853, MCC=0.7958, Kappa=0.7870, HD95=52.39, NSD=0.1778
JPCLN011.png: DSC=0.5558, IoU=0.3849, Sens=0.4067, Spec=0.9753, MCC=0.5051, Kappa=0.4500, HD95=156.79, NSD=0.0746
JPCLN012.png: DSC=0.5776, IoU=0.4061, Sens=0.4116, Spec=0.9937, MCC=0.5524, Kappa=0.4793, HD95=136.46, NSD=0.0974
JPCLN013.png: DSC=0.8717, IoU=0.7726, Sens=0.8266, Spec=0.9732, MCC=0.8284, Kappa=0.8261, HD95=25.00, NSD=0.1418
JPCLN014.png: DSC=0.8747, IoU=0.7772, Sens=0.7887, Spec=0.9936, MCC=0.8380, Kappa=0.8286, HD95=26.05, NSD=0.1853
JPCLN015.png: DSC=0.5884, IoU=0.4168, Sens=0.4492, Spec=0.9684, MCC=0.5269, Kappa=0.4858, HD95=196.15, NSD=0.0797
JPCLN016.png: DSC=0.4445, IoU=0.2858, Sens=0.3419, Spec=0.9295, MCC=0.3425, Kappa=0.3184, HD95=177.30, NSD=0.0572
JPCLN017.png: DSC=0.4895, IoU=0.3240, Sens=0.3414, Spec=0.9769, MCC=0.4511, Kappa=0.3846, HD95=286.15, NSD=0.0759
JPCLN018.png: DSC=0.8895, IoU=0.8010, Sens=0.8261, Spec=0.9724, MCC=0.8129, Kappa=0.8055, HD95=42.43, NSD=0.1603
JPCLN019.png: DSC=0.8642, IoU=0.7609, Sens=0.7810, Spec=0.9872, MCC=0.8176, Kappa=0.8083, HD95=35.22, NSD=0.1631
JPCLN020.png: DSC=0.8489, IoU=0.7375, Sens=0.8020, Spec=0.9591, MCC=0.7869, Kappa=0.7841, HD95=67.82, NSD=0.1501
JPCLN021.png: DSC=0.8148, IoU=0.6874, Sens=0.8445, Spec=0.8878, MCC=0.7200, Kappa=0.7190, HD95=69.60, NSD=0.1050
JPCLN022.png: DSC=0.8670, IoU=0.7652, Sens=0.7832, Spec=0.9893, MCC=0.8248, Kappa=0.8157, HD95=33.02, NSD=0.1829
JPCLN023.png: DSC=0.8662, IoU=0.7639, Sens=0.8036, Spec=0.9742, MCC=0.8123, Kappa=0.8072, HD95=28.28, NSD=0.1865
JPCLN024.png: DSC=0.8888, IoU=0.7999, Sens=0.8360, Spec=0.9827, MCC=0.8529, Kappa=0.8498, HD95=24.00, NSD=0.1770
JPCLN025.png: DSC=0.8405, IoU=0.7248, Sens=0.7608, Spec=0.9824, MCC=0.7992, Kappa=0.7917, HD95=28.94, NSD=0.1241
JPCLN026.png: DSC=0.4933, IoU=0.3274, Sens=0.3415, Spec=0.9775, MCC=0.4478, Kappa=0.3745, HD95=189.43, NSD=0.0926
JPCLN027.png: DSC=0.8656, IoU=0.7630, Sens=0.7857, Spec=0.9832, MCC=0.8101, Kappa=0.8009, HD95=33.00, NSD=0.1386
JPCLN028.png: DSC=0.8460, IoU=0.7330, Sens=0.7627, Spec=0.9736, MCC=0.7733, Kappa=0.7622, HD95=42.00, NSD=0.1311
JPCLN029.png: DSC=0.5053, IoU=0.3381, Sens=0.3642, Spec=0.9778, MCC=0.4777, Kappa=0.4269, HD95=183.54, NSD=0.1105
JPCLN030.png: DSC=0.8682, IoU=0.7671, Sens=0.8245, Spec=0.9713, MCC=0.8234, Kappa=0.8213, HD95=35.16, NSD=0.1913
JPCLN031.png: DSC=0.8589, IoU=0.7527, Sens=0.7807, Spec=0.9831, MCC=0.8118, Kappa=0.8039, HD95=27.31, NSD=0.1890
JPCLN032.png: DSC=0.8797, IoU=0.7852, Sens=0.8170, Spec=0.9790, MCC=0.8294, Kappa=0.8242, HD95=24.17, NSD=0.1261
JPCLN033.png: DSC=0.0209, IoU=0.0106, Sens=0.0108, Spec=0.9914, MCC=0.0103, Kappa=0.0030, HD95=162.03, NSD=0.0272
JPCLN034.png: DSC=0.7745, IoU=0.6320, Sens=0.8522, Spec=0.8444, MCC=0.6663, Kappa=0.6600, HD95=71.73, NSD=0.0908
JPCLN035.png: DSC=0.8843, IoU=0.7925, Sens=0.8195, Spec=0.9805, MCC=0.8317, Kappa=0.8258, HD95=31.05, NSD=0.1849
