=== METRICS: train/normal ===

Normal (1407).png: DSC=0.9154, IoU=0.8440, Sens=0.8628, Spec=0.9930, MCC=0.8936, Kappa=0.8909, HD95=20.33, NSD=0.2838
Normal (1408).png: DSC=0.8536, IoU=0.7445, Sens=0.8065, Spec=0.9766, MCC=0.8176, Kappa=0.8154, HD95=43.43, NSD=0.1072
Normal (1409).png: DSC=0.9082, IoU=0.8318, Sens=0.8562, Spec=0.9864, MCC=0.8726, Kappa=0.8693, HD95=27.35, NSD=0.3432
Normal (1410).png: DSC=0.0331, IoU=0.0168, Sens=0.0176, Spec=0.9815, MCC=-0.0032, Kappa=-0.0013, HD95=135.21, NSD=0.0153
Normal (1411).png: DSC=0.8872, IoU=0.7972, Sens=0.8447, Spec=0.9806, MCC=0.8547, Kappa=0.8528, HD95=27.46, NSD=0.1690
Normal (1412).png: DSC=0.8796, IoU=0.7851, Sens=0.8367, Spec=0.9802, MCC=0.8476, Kappa=0.8458, HD95=22.80, NSD=0.1698
Normal (1413).png: DSC=0.9099, IoU=0.8347, Sens=0.8525, Spec=0.9896, MCC=0.8742, Kappa=0.8700, HD95=23.09, NSD=0.1978
Normal (1414).png: DSC=0.9102, IoU=0.8352, Sens=0.8760, Spec=0.9770, MCC=0.8717, Kappa=0.8703, HD95=29.00, NSD=0.2335
Normal (1415).png: DSC=0.8527, IoU=0.7432, Sens=0.8402, Spec=0.9597, MCC=0.8083, Kappa=0.8081, HD95=40.74, NSD=0.1091
Normal (1416).png: DSC=0.6076, IoU=0.4364, Sens=0.4556, Spec=0.9817, MCC=0.5629, Kappa=0.5122, HD95=263.88, NSD=0.0868
Normal (1417).png: DSC=0.8247, IoU=0.7017, Sens=0.7679, Spec=0.9720, MCC=0.7810, Kappa=0.7775, HD95=48.01, NSD=0.1770
Normal (1418).png: DSC=0.8954, IoU=0.8105, Sens=0.8648, Spec=0.9743, MCC=0.8582, Kappa=0.8572, HD95=25.00, NSD=0.2031
Normal (1419).png: DSC=0.7247, IoU=0.5683, Sens=0.5711, Spec=0.9979, MCC=0.6883, Kappa=0.6458, HD95=58.69, NSD=0.1768
Normal (1420).png: DSC=0.8767, IoU=0.7804, Sens=0.8388, Spec=0.9811, MCC=0.8486, Kappa=0.8473, HD95=27.42, NSD=0.1260
Normal (1421).png: DSC=0.9159, IoU=0.8448, Sens=0.8796, Spec=0.9881, MCC=0.8940, Kappa=0.8928, HD95=21.00, NSD=0.2322
Normal (1422).png: DSC=0.8185, IoU=0.6928, Sens=0.7381, Spec=0.9719, MCC=0.7605, Kappa=0.7520, HD95=34.00, NSD=0.1189
Normal (1423).png: DSC=0.0261, IoU=0.0132, Sens=0.0138, Spec=0.9882, MCC=0.0075, Kappa=0.0030, HD95=129.40, NSD=0.0181
Normal (1424).png: DSC=0.8735, IoU=0.7755, Sens=0.7937, Spec=0.9899, MCC=0.8347, Kappa=0.8268, HD95=29.73, NSD=0.2286
Normal (1425).png: DSC=0.7631, IoU=0.6169, Sens=0.6177, Spec=0.9996, MCC=0.7357, Kappa=0.7029, HD95=52.19, NSD=0.2130
Normal (1426).png: DSC=0.5760, IoU=0.4045, Sens=0.4050, Spec=0.9995, MCC=0.5669, Kappa=0.4875, HD95=135.45, NSD=0.0816
Normal (1427).png: DSC=0.5312, IoU=0.3616, Sens=0.3843, Spec=0.9738, MCC=0.4826, Kappa=0.4267, HD95=142.91, NSD=0.1281
Normal (1428).png: DSC=0.8631, IoU=0.7592, Sens=0.8187, Spec=0.9788, MCC=0.8306, Kappa=0.8287, HD95=25.45, NSD=0.1156
Normal (1429).png: DSC=0.8976, IoU=0.8142, Sens=0.8477, Spec=0.9922, MCC=0.8817, Kappa=0.8796, HD95=18.86, NSD=0.2316
Normal (1430).png: DSC=0.8778, IoU=0.7822, Sens=0.8047, Spec=0.9848, MCC=0.8292, Kappa=0.8219, HD95=36.04, NSD=0.2170
Normal (1431).png: DSC=0.8873, IoU=0.7974, Sens=0.8285, Spec=0.9900, MCC=0.8641, Kappa=0.8608, HD95=20.00, NSD=0.2177
Normal (1432).png: DSC=0.8835, IoU=0.7912, Sens=0.8307, Spec=0.9832, MCC=0.8503, Kappa=0.8474, HD95=23.77, NSD=0.1409
Normal (1433).png: DSC=0.8946, IoU=0.8092, Sens=0.8823, Spec=0.9667, MCC=0.8565, Kappa=0.8564, HD95=81.04, NSD=0.1271
Normal (1434).png: DSC=0.8952, IoU=0.8102, Sens=0.8212, Spec=0.9968, MCC=0.8783, Kappa=0.8731, HD95=21.19, NSD=0.2817
Normal (1435).png: DSC=0.6414, IoU=0.4721, Sens=0.5034, Spec=0.9787, MCC=0.5988, Kappa=0.5646, HD95=75.28, NSD=0.0747
Normal (1436).png: DSC=0.8654, IoU=0.7628, Sens=0.7917, Spec=0.9879, MCC=0.8335, Kappa=0.8275, HD95=23.77, NSD=0.1496
Normal (1437).png: DSC=0.4456, IoU=0.2867, Sens=0.2867, Spec=1.0000, MCC=0.4682, Kappa=0.3597, HD95=136.10, NSD=0.0270
Normal (1438).png: DSC=0.9226, IoU=0.8564, Sens=0.8802, Spec=0.9893, MCC=0.8968, Kappa=0.8949, HD95=17.58, NSD=0.2521
Normal (1439).png: DSC=0.5239, IoU=0.3549, Sens=0.4147, Spec=0.9275, MCC=0.4127, Kappa=0.3884, HD95=261.63, NSD=0.0565
Normal (1440).png: DSC=0.0071, IoU=0.0036, Sens=0.0037, Spec=0.9872, MCC=-0.0379, Kappa=-0.0134, HD95=148.89, NSD=0.0592
Normal (1441).png: DSC=0.8708, IoU=0.7711, Sens=0.7865, Spec=0.9936, MCC=0.8428, Kappa=0.8348, HD95=29.71, NSD=0.1849
Normal (1442).png: DSC=0.9175, IoU=0.8476, Sens=0.9161, Spec=0.9671, MCC=0.8841, Kappa=0.8840, HD95=21.32, NSD=0.2288
Normal (1443).png: DSC=0.6013, IoU=0.4299, Sens=0.4385, Spec=0.9916, MCC=0.5732, Kappa=0.5101, HD95=111.57, NSD=0.1811
Normal (1444).png: DSC=0.8658, IoU=0.7633, Sens=0.8741, Spec=0.9431, MCC=0.8126, Kappa=0.8125, HD95=69.01, NSD=0.1409
Normal (1445).png: DSC=0.8584, IoU=0.7520, Sens=0.7626, Spec=0.9966, MCC=0.8391, Kappa=0.8295, HD95=28.01, NSD=0.3215
Normal (1446).png: DSC=0.2706, IoU=0.1565, Sens=0.1627, Spec=0.9934, MCC=0.3263, Kappa=0.2341, HD95=201.37, NSD=0.0515
Normal (1447).png: DSC=0.8909, IoU=0.8032, Sens=0.8237, Spec=0.9851, MCC=0.8414, Kappa=0.8350, HD95=29.43, NSD=0.2284
Normal (1448).png: DSC=0.8890, IoU=0.8002, Sens=0.8641, Spec=0.9794, MCC=0.8619, Kappa=0.8614, HD95=21.84, NSD=0.1689
Normal (1449).png: DSC=0.8834, IoU=0.7911, Sens=0.8063, Spec=0.9924, MCC=0.8500, Kappa=0.8429, HD95=27.42, NSD=0.2122
Normal (1450).png: DSC=0.8050, IoU=0.6737, Sens=0.6799, Spec=0.9955, MCC=0.7582, Kappa=0.7340, HD95=58.93, NSD=0.2585
Normal (1451).png: DSC=0.8615, IoU=0.7567, Sens=0.7892, Spec=0.9846, MCC=0.8238, Kappa=0.8178, HD95=28.46, NSD=0.2234
