=== METRICS: train/tb ===

CHNCXR_10_0.png: DSC=0.8035, IoU=0.6715, Sens=0.6832, Spec=0.9968, MCC=0.7909, Kappa=0.7746, HD95=32.20, NSD=0.1624
CHNCXR_11_0.png: DSC=0.8049, IoU=0.6735, Sens=0.6780, Spec=0.9982, MCC=0.7847, Kappa=0.7644, HD95=42.00, NSD=0.1399
CHNCXR_12_0.png: DSC=0.8383, IoU=0.7215, Sens=0.7469, Spec=0.9874, MCC=0.7997, Kappa=0.7895, HD95=30.23, NSD=0.1275
CHNCXR_13_0.png: DSC=0.8420, IoU=0.7271, Sens=0.7303, Spec=0.9988, MCC=0.8215, Kappa=0.8070, HD95=42.09, NSD=0.2023
CHNCXR_14_0.png: DSC=0.7961, IoU=0.6612, Sens=0.6647, Spec=0.9987, MCC=0.7791, Kappa=0.7572, HD95=35.35, NSD=0.1391
CHNCXR_15_0.png: DSC=0.8097, IoU=0.6802, Sens=0.6862, Spec=0.9975, MCC=0.7858, Kappa=0.7663, HD95=43.04, NSD=0.2241
CHNCXR_16_0.png: DSC=0.6438, IoU=0.4747, Sens=0.4749, Spec=0.9999, MCC=0.6467, Kappa=0.5900, HD95=70.14, NSD=0.0866
CHNCXR_17_0.png: DSC=0.8197, IoU=0.6945, Sens=0.7006, Spec=0.9973, MCC=0.7938, Kappa=0.7759, HD95=43.91, NSD=0.1488
CHNCXR_18_0.png: DSC=0.8534, IoU=0.7442, Sens=0.7494, Spec=0.9971, MCC=0.8186, Kappa=0.8044, HD95=32.76, NSD=0.2283
CHNCXR_19_0.png: DSC=0.8432, IoU=0.7289, Sens=0.7421, Spec=0.9938, MCC=0.8116, Kappa=0.7992, HD95=31.02, NSD=0.2205
CHNCXR_1_0.png: DSC=0.7090, IoU=0.5492, Sens=0.5520, Spec=0.9984, MCC=0.6892, Kappa=0.6468, HD95=74.71, NSD=0.0709
CHNCXR_20_0.png: DSC=0.8357, IoU=0.7178, Sens=0.7292, Spec=0.9927, MCC=0.7911, Kappa=0.7752, HD95=55.08, NSD=0.1053
CHNCXR_21_0.png: DSC=0.8607, IoU=0.7554, Sens=0.7659, Spec=0.9953, MCC=0.8314, Kappa=0.8208, HD95=29.00, NSD=0.2332
CHNCXR_22_0.png: DSC=0.7289, IoU=0.5734, Sens=0.5755, Spec=0.9986, MCC=0.7017, Kappa=0.6618, HD95=52.50, NSD=0.0401
CHNCXR_23_0.png: DSC=0.7968, IoU=0.6622, Sens=0.6665, Spec=0.9979, MCC=0.7697, Kappa=0.7465, HD95=40.61, NSD=0.0976
CHNCXR_24_0.png: DSC=0.8227, IoU=0.6988, Sens=0.7059, Spec=0.9971, MCC=0.7989, Kappa=0.7823, HD95=36.08, NSD=0.2335
CHNCXR_26_0.png: DSC=0.8599, IoU=0.7542, Sens=0.7589, Spec=0.9983, MCC=0.8394, Kappa=0.8281, HD95=28.07, NSD=0.2335
CHNCXR_27_0.png: DSC=0.7841, IoU=0.6449, Sens=0.6486, Spec=0.9986, MCC=0.7675, Kappa=0.7434, HD95=43.97, NSD=0.2317
CHNCXR_28_0.png: DSC=0.8209, IoU=0.6962, Sens=0.7128, Spec=0.9887, MCC=0.7708, Kappa=0.7538, HD95=50.15, NSD=0.1757
CHNCXR_29_0.png: DSC=0.7465, IoU=0.5956, Sens=0.5959, Spec=0.9999, MCC=0.7436, Kappa=0.7123, HD95=43.64, NSD=0.1059
CHNCXR_2_0.png: DSC=0.7099, IoU=0.5502, Sens=0.5559, Spec=0.9971, MCC=0.6943, Kappa=0.6558, HD95=71.91, NSD=0.0953
CHNCXR_30_0.png: DSC=0.8462, IoU=0.7334, Sens=0.7378, Spec=0.9970, MCC=0.8013, Kappa=0.7840, HD95=50.26, NSD=0.1376
CHNCXR_31_0.png: DSC=0.6471, IoU=0.4783, Sens=0.4795, Spec=0.9991, MCC=0.6365, Kappa=0.5784, HD95=87.00, NSD=0.0895
CHNCXR_32_0.png: DSC=0.7246, IoU=0.5682, Sens=0.5721, Spec=0.9979, MCC=0.7042, Kappa=0.6664, HD95=64.72, NSD=0.0899
CHNCXR_33_0.png: DSC=0.7900, IoU=0.6529, Sens=0.6595, Spec=0.9964, MCC=0.7581, Kappa=0.7339, HD95=57.24, NSD=0.1761
CHNCXR_34_0.png: DSC=0.4851, IoU=0.3202, Sens=0.3352, Spec=0.9907, MCC=0.4976, Kappa=0.4331, HD95=246.68, NSD=0.0480
CHNCXR_35_0.png: DSC=0.6630, IoU=0.4959, Sens=0.4974, Spec=0.9994, MCC=0.6673, Kappa=0.6180, HD95=88.43, NSD=0.1236
CHNCXR_3_0.png: DSC=0.7825, IoU=0.6427, Sens=0.6458, Spec=0.9985, MCC=0.7580, Kappa=0.7317, HD95=43.45, NSD=0.1391
CHNCXR_41_0.png: DSC=0.8941, IoU=0.8085, Sens=0.8588, Spec=0.9687, MCC=0.8456, Kappa=0.8440, HD95=28.72, NSD=0.1787
CHNCXR_42_0.png: DSC=0.7722, IoU=0.6290, Sens=0.6367, Spec=0.9967, MCC=0.7519, Kappa=0.7271, HD95=46.67, NSD=0.1972
CHNCXR_43_0.png: DSC=0.6565, IoU=0.4886, Sens=0.4889, Spec=0.9999, MCC=0.6586, Kappa=0.6055, HD95=73.50, NSD=0.0887
CHNCXR_44_0.png: DSC=0.6576, IoU=0.4898, Sens=0.5045, Spec=0.9889, MCC=0.6234, Kappa=0.5782, HD95=90.75, NSD=0.1182
CHNCXR_45_0.png: DSC=0.8259, IoU=0.7034, Sens=0.7178, Spec=0.9962, MCC=0.8113, Kappa=0.7990, HD95=35.56, NSD=0.1892
CHNCXR_46_0.png: DSC=0.8732, IoU=0.7749, Sens=0.7860, Spec=0.9943, MCC=0.8395, Kappa=0.8302, HD95=36.46, NSD=0.2657
CHNCXR_47_0.png: DSC=0.8060, IoU=0.6751, Sens=0.6818, Spec=0.9948, MCC=0.7556, Kappa=0.7311, HD95=58.94, NSD=0.1427
