=== METRICS: train/covid-19 ===

covid_1.png: DSC=0.4711, IoU=0.3082, Sens=0.3086, Spec=0.9997, MCC=0.5215, Kappa=0.4289, HD95=100.45, NSD=0.1947
covid_100.png: DSC=0.8326, IoU=0.7133, Sens=0.7734, Spec=0.9827, MCC=0.8048, Kappa=0.8015, HD95=17.00, NSD=0.3452
covid_101.png: DSC=0.4800, IoU=0.3158, Sens=1.0000, Spec=0.6351, MCC=0.4478, Kappa=0.3341, HD95=55.06, NSD=0.0000
covid_104.png: DSC=0.8796, IoU=0.7851, Sens=0.8500, Spec=0.9561, MCC=0.8202, Kappa=0.8191, HD95=16.03, NSD=0.3193
covid_106.png: DSC=0.8930, IoU=0.8067, Sens=0.8186, Spec=0.9956, MCC=0.8705, Kappa=0.8647, HD95=10.00, NSD=0.4572
covid_107.png: DSC=0.4076, IoU=0.2560, Sens=0.2603, Spec=0.9910, MCC=0.4053, Kappa=0.3020, HD95=139.23, NSD=0.1437
covid_108.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
covid_109.png: DSC=0.1018, IoU=0.0536, Sens=0.0673, Spec=0.9325, MCC=-0.0004, Kappa=-0.0003, HD95=73.21, NSD=0.0470
covid_11.png: DSC=0.8551, IoU=0.7470, Sens=0.7723, Spec=0.9854, MCC=0.8108, Kappa=0.8021, HD95=19.10, NSD=0.3976
covid_111.png: DSC=0.6974, IoU=0.5354, Sens=0.5451, Spec=0.9968, MCC=0.6957, Kappa=0.6606, HD95=23.50, NSD=0.2605
covid_112.png: DSC=0.8741, IoU=0.7764, Sens=0.7915, Spec=0.9949, MCC=0.8524, Kappa=0.8454, HD95=18.60, NSD=0.4620
covid_114.png: DSC=0.6422, IoU=0.4730, Sens=0.4730, Spec=1.0000, MCC=0.6590, Kappa=0.6055, HD95=42.09, NSD=0.0291
covid_115.png: DSC=0.5267, IoU=0.3575, Sens=0.3622, Spec=0.9950, MCC=0.5240, Kappa=0.4428, HD95=51.54, NSD=0.1619
covid_116.png: DSC=0.0395, IoU=0.0201, Sens=0.0203, Spec=0.9932, MCC=0.0603, Kappa=0.0162, HD95=175.95, NSD=0.0262
covid_118.png: DSC=0.8840, IoU=0.7921, Sens=0.8104, Spec=0.9890, MCC=0.8430, Kappa=0.8360, HD95=15.00, NSD=0.3778
covid_12.png: DSC=0.8480, IoU=0.7361, Sens=0.8630, Spec=0.9285, MCC=0.7836, Kappa=0.7834, HD95=31.89, NSD=0.2636
covid_120.png: DSC=0.0014, IoU=0.0007, Sens=0.0007, Spec=0.9882, MCC=-0.0611, Kappa=-0.0138, HD95=176.01, NSD=0.0266
covid_121.png: DSC=0.5679, IoU=0.3965, Sens=0.3965, Spec=1.0000, MCC=0.5853, Kappa=0.5103, HD95=51.34, NSD=0.1026
covid_123.png: DSC=0.8675, IoU=0.7660, Sens=0.8444, Spec=0.9700, MCC=0.8305, Kappa=0.8300, HD95=12.20, NSD=0.3042
covid_124.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.9918, MCC=-0.0420, Kappa=-0.0127, HD95=212.41, NSD=0.0000
covid_125.png: DSC=0.8855, IoU=0.7946, Sens=0.8295, Spec=0.9812, MCC=0.8448, Kappa=0.8411, HD95=10.77, NSD=0.3164
covid_126.png: DSC=0.8458, IoU=0.7328, Sens=0.7544, Spec=0.9949, MCC=0.8310, Kappa=0.8229, HD95=24.18, NSD=0.4132
covid_127.png: DSC=0.8585, IoU=0.7521, Sens=0.7776, Spec=0.9802, MCC=0.7983, Kappa=0.7886, HD95=16.12, NSD=0.2532
covid_128.png: DSC=0.6275, IoU=0.4571, Sens=0.6640, Spec=0.9227, MCC=0.5608, Kappa=0.5596, HD95=35.36, NSD=0.1213
covid_129.png: DSC=0.8065, IoU=0.6757, Sens=0.6812, Spec=0.9984, MCC=0.7944, Kappa=0.7763, HD95=16.49, NSD=0.3453
covid_130.png: DSC=0.6100, IoU=0.4388, Sens=0.4405, Spec=0.9985, MCC=0.5951, Kappa=0.5261, HD95=51.16, NSD=0.1178
covid_131.png: DSC=0.4201, IoU=0.2659, Sens=0.2675, Spec=0.9975, MCC=0.4446, Kappa=0.3372, HD95=105.57, NSD=0.1486
covid_132.png: DSC=0.3114, IoU=0.1844, Sens=0.1844, Spec=0.9999, MCC=0.3761, Kappa=0.2482, HD95=89.86, NSD=0.0836
covid_133.png: DSC=0.8456, IoU=0.7326, Sens=0.7439, Spec=0.9950, MCC=0.8163, Kappa=0.8039, HD95=20.92, NSD=0.3889
covid_135.png: DSC=0.5468, IoU=0.3763, Sens=0.3776, Spec=0.9984, MCC=0.5409, Kappa=0.4560, HD95=37.00, NSD=0.0944
covid_136.png: DSC=0.8398, IoU=0.7238, Sens=0.7581, Spec=0.9899, MCC=0.8167, Kappa=0.8100, HD95=12.23, NSD=0.2682
covid_137.png: DSC=0.8034, IoU=0.6714, Sens=0.6773, Spec=0.9966, MCC=0.7684, Kappa=0.7458, HD95=28.29, NSD=0.3301
covid_139.png: DSC=0.4782, IoU=0.3143, Sens=0.3422, Spec=0.9673, MCC=0.4287, Kappa=0.3774, HD95=111.61, NSD=0.2357
covid_14.png: DSC=0.7277, IoU=0.5719, Sens=0.5749, Spec=0.9977, MCC=0.6894, Kappa=0.6473, HD95=30.83, NSD=0.1980
covid_140.png: DSC=0.8494, IoU=0.7382, Sens=0.7903, Spec=0.9621, MCC=0.7821, Kappa=0.7773, HD95=29.48, NSD=0.2812
covid_142.png: DSC=0.8561, IoU=0.7485, Sens=0.7529, Spec=0.9986, MCC=0.8383, Kappa=0.8268, HD95=12.00, NSD=0.2836
covid_144.png: DSC=0.2462, IoU=0.1404, Sens=0.1406, Spec=0.9996, MCC=0.3326, Kappa=0.2014, HD95=106.82, NSD=0.0968
covid_148.png: DSC=0.8399, IoU=0.7241, Sens=0.7628, Spec=0.9859, MCC=0.8094, Kappa=0.8031, HD95=13.60, NSD=0.3491
covid_15.png: DSC=0.9135, IoU=0.8408, Sens=0.8579, Spec=0.9935, MCC=0.8914, Kappa=0.8882, HD95=8.94, NSD=0.4295
covid_150.png: DSC=0.8863, IoU=0.7957, Sens=0.8443, Spec=0.9764, MCC=0.8471, Kappa=0.8452, HD95=12.68, NSD=0.2553
covid_151.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
covid_152.png: DSC=0.0196, IoU=0.0099, Sens=0.0116, Spec=0.9775, MCC=-0.0239, Kappa=-0.0169, HD95=172.83, NSD=0.1001
covid_153.png: DSC=0.4464, IoU=0.2873, Sens=0.3391, Spec=0.9131, MCC=0.3154, Kappa=0.2881, HD95=110.08, NSD=0.1434
covid_154.png: DSC=0.1733, IoU=0.0949, Sens=0.0993, Spec=0.9904, MCC=0.2166, Kappa=0.1356, HD95=98.18, NSD=0.0000
covid_157.png: DSC=0.9088, IoU=0.8329, Sens=0.8770, Spec=0.9761, MCC=0.8710, Kappa=0.8698, HD95=13.42, NSD=0.4926
covid_158.png: DSC=0.8266, IoU=0.7044, Sens=0.7933, Spec=0.9468, MCC=0.7590, Kappa=0.7577, HD95=18.11, NSD=0.2058
covid_159.png: DSC=0.8224, IoU=0.6983, Sens=0.7311, Spec=0.9829, MCC=0.7784, Kappa=0.7680, HD95=18.36, NSD=0.2629
covid_16.png: DSC=0.3496, IoU=0.2118, Sens=0.2173, Spec=0.9942, MCC=0.3963, Kappa=0.2991, HD95=125.44, NSD=0.1332
covid_160.png: DSC=0.6190, IoU=0.4483, Sens=0.4483, Spec=1.0000, MCC=0.6283, Kappa=0.5660, HD95=47.81, NSD=0.1419
covid_162.png: DSC=0.6319, IoU=0.4619, Sens=0.4627, Spec=0.9993, MCC=0.6118, Kappa=0.5461, HD95=66.11, NSD=0.1919
covid_164.png: DSC=0.5343, IoU=0.3645, Sens=0.3645, Spec=1.0000, MCC=0.5536, Kappa=0.4692, HD95=59.17, NSD=0.0800
covid_165.png: DSC=0.8740, IoU=0.7761, Sens=0.7891, Spec=0.9957, MCC=0.8531, Kappa=0.8457, HD95=29.55, NSD=0.4715
covid_167.png: DSC=0.7274, IoU=0.5716, Sens=0.6399, Spec=0.9746, MCC=0.6877, Kappa=0.6788, HD95=21.79, NSD=0.1738
covid_169.png: DSC=0.8816, IoU=0.7883, Sens=0.8166, Spec=0.9883, MCC=0.8514, Kappa=0.8469, HD95=12.10, NSD=0.3879
covid_17.png: DSC=0.7223, IoU=0.5654, Sens=0.5816, Spec=0.9890, MCC=0.6814, Kappa=0.6487, HD95=30.48, NSD=0.1808
covid_172.png: DSC=0.5299, IoU=0.3604, Sens=0.3604, Spec=1.0000, MCC=0.5633, Kappa=0.4817, HD95=57.31, NSD=0.0967
covid_173.png: DSC=0.9175, IoU=0.8476, Sens=0.8770, Spec=0.9869, MCC=0.8901, Kappa=0.8884, HD95=8.00, NSD=0.4426
covid_174.png: DSC=0.5681, IoU=0.3967, Sens=0.3984, Spec=0.9989, MCC=0.5825, Kappa=0.5100, HD95=51.56, NSD=0.1623
covid_175.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
covid_176.png: DSC=0.0022, IoU=0.0011, Sens=0.0011, Spec=0.9881, MCC=-0.0628, Kappa=-0.0123, HD95=215.05, NSD=0.0222
covid_178.png: DSC=0.8426, IoU=0.7280, Sens=0.7435, Spec=0.9956, MCC=0.8255, Kappa=0.8153, HD95=17.80, NSD=0.4605
covid_180.png: DSC=0.6201, IoU=0.4494, Sens=0.4794, Spec=0.9833, MCC=0.5932, Kappa=0.5575, HD95=77.12, NSD=0.4207
covid_181.png: DSC=0.7027, IoU=0.5416, Sens=0.5489, Spec=0.9909, MCC=0.6321, Kappa=0.5807, HD95=33.71, NSD=0.2177
covid_183.png: DSC=0.6868, IoU=0.5230, Sens=0.5331, Spec=0.9956, MCC=0.6780, Kappa=0.6396, HD95=32.89, NSD=0.3456
covid_184.png: DSC=0.6002, IoU=0.4288, Sens=0.4369, Spec=0.9952, MCC=0.6004, Kappa=0.5427, HD95=75.80, NSD=0.1837
covid_187.png: DSC=0.6157, IoU=0.4447, Sens=0.4449, Spec=0.9998, MCC=0.5825, Kappa=0.5070, HD95=41.11, NSD=0.1181
covid_188.png: DSC=0.8390, IoU=0.7227, Sens=0.8112, Spec=0.9635, MCC=0.7939, Kappa=0.7931, HD95=16.97, NSD=0.3316
covid_190.png: DSC=0.8682, IoU=0.7671, Sens=0.8011, Spec=0.9851, MCC=0.8337, Kappa=0.8288, HD95=25.91, NSD=0.4622
covid_191.png: DSC=0.0197, IoU=0.0099, Sens=0.0101, Spec=0.9978, MCC=0.0497, Kappa=0.0130, HD95=146.98, NSD=0.0274
covid_192.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.9835, MCC=-0.0696, Kappa=-0.0231, HD95=130.55, NSD=0.0000
covid_193.png: DSC=0.7022, IoU=0.5411, Sens=0.5413, Spec=0.9999, MCC=0.6822, Kappa=0.6354, HD95=31.19, NSD=0.2396
covid_196.png: DSC=0.2700, IoU=0.1561, Sens=0.1561, Spec=1.0000, MCC=0.3626, Kappa=0.2324, HD95=49.09, NSD=0.0000
covid_197.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.9856, MCC=-0.0586, Kappa=-0.0215, HD95=159.50, NSD=0.0175
covid_198.png: DSC=0.8164, IoU=0.6898, Sens=0.6940, Spec=0.9980, MCC=0.7895, Kappa=0.7700, HD95=15.52, NSD=0.2483
covid_199.png: DSC=0.4719, IoU=0.3088, Sens=0.3093, Spec=0.9994, MCC=0.4929, Kappa=0.3926, HD95=54.47, NSD=0.1095
covid_20.png: DSC=0.8002, IoU=0.6670, Sens=0.6990, Spec=0.9939, MCC=0.7892, Kappa=0.7790, HD95=14.56, NSD=0.3858
covid_200.png: DSC=0.3241, IoU=0.1934, Sens=1.0000, Spec=0.3642, MCC=0.2654, Kappa=0.1316, HD95=104.06, NSD=0.0000
covid_201.png: DSC=0.7692, IoU=0.6249, Sens=0.6352, Spec=0.9975, MCC=0.7639, Kappa=0.7424, HD95=18.36, NSD=0.4024
covid_202.png: DSC=0.8342, IoU=0.7155, Sens=0.7213, Spec=0.9979, MCC=0.8143, Kappa=0.7995, HD95=21.93, NSD=0.3828
covid_203.png: DSC=0.0280, IoU=0.0142, Sens=0.0148, Spec=0.9844, MCC=-0.0027, Kappa=-0.0011, HD95=219.04, NSD=0.0225
covid_204.png: DSC=0.6267, IoU=0.4564, Sens=0.4725, Spec=0.9906, MCC=0.6110, Kappa=0.5651, HD95=37.46, NSD=0.0805
covid_205.png: DSC=0.9121, IoU=0.8383, Sens=0.8630, Spec=0.9887, MCC=0.8835, Kappa=0.8809, HD95=10.00, NSD=0.4617
covid_206.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
covid_207.png: DSC=0.6685, IoU=0.5020, Sens=0.5068, Spec=0.9967, MCC=0.6492, Kappa=0.5989, HD95=32.17, NSD=0.2464
covid_208.png: DSC=0.8726, IoU=0.7740, Sens=0.8568, Spec=0.9631, MCC=0.8301, Kappa=0.8298, HD95=19.42, NSD=0.3711
covid_209.png: DSC=0.6765, IoU=0.5111, Sens=0.5138, Spec=0.9982, MCC=0.6577, Kappa=0.6071, HD95=26.14, NSD=0.2294
covid_210.png: DSC=0.9042, IoU=0.8251, Sens=0.8434, Spec=0.9928, MCC=0.8799, Kappa=0.8761, HD95=12.04, NSD=0.4206
covid_212.png: DSC=0.6030, IoU=0.4316, Sens=0.4628, Spec=0.9541, MCC=0.5008, Kappa=0.4556, HD95=130.65, NSD=0.1532
covid_213.png: DSC=0.7721, IoU=0.6287, Sens=0.6514, Spec=0.9927, MCC=0.7535, Kappa=0.7360, HD95=27.74, NSD=0.2274
covid_215.png: DSC=0.5268, IoU=0.3576, Sens=0.4154, Spec=0.9609, MCC=0.4718, Kappa=0.4482, HD95=115.30, NSD=0.1711
covid_216.png: DSC=0.0266, IoU=0.0135, Sens=0.0144, Spec=0.9821, MCC=-0.0108, Kappa=-0.0053, HD95=106.31, NSD=0.0342
covid_217.png: DSC=0.7196, IoU=0.5620, Sens=0.5649, Spec=0.9987, MCC=0.7086, Kappa=0.6711, HD95=28.18, NSD=0.1875
