=== METRICS: train/jsrt ===

JPCLN001.png: DSC=0.0201, IoU=0.0101, Sens=0.0103, Spec=0.9932, MCC=0.0188, Kappa=0.0046, HD95=172.18, NSD=0.0386
JPCLN002.png: DSC=0.8480, IoU=0.7362, Sens=0.7853, Spec=0.9814, MCC=0.8141, Kappa=0.8100, HD95=17.79, NSD=0.2578
JPCLN003.png: DSC=0.6080, IoU=0.4368, Sens=0.4469, Spec=0.9934, MCC=0.5986, Kappa=0.5432, HD95=108.54, NSD=0.1919
JPCLN004.png: DSC=0.6214, IoU=0.4507, Sens=0.4531, Spec=0.9978, MCC=0.6008, Kappa=0.5344, HD95=114.07, NSD=0.1823
JPCLN005.png: DSC=0.8739, IoU=0.7760, Sens=0.8432, Spec=0.9725, MCC=0.8366, Kappa=0.8357, HD95=10.00, NSD=0.2650
JPCLN006.png: DSC=0.8568, IoU=0.7495, Sens=0.8018, Spec=0.9714, MCC=0.8073, Kappa=0.8037, HD95=15.25, NSD=0.2958
JPCLN007.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN008.png: DSC=0.8396, IoU=0.7236, Sens=0.7407, Spec=0.9847, MCC=0.7729, Kappa=0.7569, HD95=18.03, NSD=0.2756
JPCLN009.png: DSC=0.8654, IoU=0.7627, Sens=0.8089, Spec=0.9741, MCC=0.8171, Kappa=0.8133, HD95=15.23, NSD=0.3473
JPCLN010.png: DSC=0.8296, IoU=0.7088, Sens=0.7296, Spec=0.9906, MCC=0.7963, Kappa=0.7843, HD95=21.71, NSD=0.3329
JPCLN011.png: DSC=0.5498, IoU=0.3791, Sens=0.3902, Spec=0.9872, MCC=0.5206, Kappa=0.4513, HD95=141.77, NSD=0.1893
JPCLN012.png: DSC=0.8594, IoU=0.7535, Sens=0.7839, Spec=0.9813, MCC=0.8106, Kappa=0.8032, HD95=14.22, NSD=0.2232
JPCLN013.png: DSC=0.6313, IoU=0.4612, Sens=0.4678, Spec=0.9946, MCC=0.6084, Kappa=0.5503, HD95=116.13, NSD=0.2111
JPCLN014.png: DSC=0.8674, IoU=0.7659, Sens=0.7776, Spec=0.9935, MCC=0.8297, Kappa=0.8193, HD95=15.28, NSD=0.3101
JPCLN015.png: DSC=0.5941, IoU=0.4226, Sens=0.4486, Spec=0.9751, MCC=0.5418, Kappa=0.4959, HD95=83.31, NSD=0.1625
JPCLN016.png: DSC=0.6361, IoU=0.4663, Sens=0.4763, Spec=0.9923, MCC=0.6114, Kappa=0.5584, HD95=113.18, NSD=0.2093
JPCLN017.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN018.png: DSC=0.5442, IoU=0.3738, Sens=0.3858, Spec=0.9719, MCC=0.4500, Kappa=0.3707, HD95=85.86, NSD=0.1939
JPCLN019.png: DSC=0.8494, IoU=0.7382, Sens=0.7671, Spec=0.9810, MCC=0.7966, Kappa=0.7875, HD95=18.37, NSD=0.3100
JPCLN020.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN021.png: DSC=0.0971, IoU=0.0510, Sens=0.0510, Spec=1.0000, MCC=0.1865, Kappa=0.0672, HD95=186.01, NSD=0.0656
JPCLN022.png: DSC=0.8506, IoU=0.7401, Sens=0.7551, Spec=0.9908, MCC=0.8070, Kappa=0.7947, HD95=16.00, NSD=0.2902
JPCLN023.png: DSC=0.8694, IoU=0.7690, Sens=0.8063, Spec=0.9759, MCC=0.8171, Kappa=0.8118, HD95=12.00, NSD=0.3005
JPCLN024.png: DSC=0.8011, IoU=0.6682, Sens=0.8931, Spec=0.8704, MCC=0.7211, Kappa=0.7131, HD95=33.06, NSD=0.2748
JPCLN025.png: DSC=0.8382, IoU=0.7214, Sens=0.7554, Spec=0.9833, MCC=0.7973, Kappa=0.7891, HD95=12.53, NSD=0.2477
JPCLN026.png: DSC=0.0052, IoU=0.0026, Sens=0.0026, Spec=0.9960, MCC=-0.0110, Kappa=-0.0018, HD95=226.31, NSD=0.0316
JPCLN027.png: DSC=0.6185, IoU=0.4477, Sens=0.4504, Spec=0.9965, MCC=0.5784, Kappa=0.5067, HD95=119.56, NSD=0.1874
JPCLN028.png: DSC=0.5080, IoU=0.3405, Sens=0.3532, Spec=0.9757, MCC=0.4451, Kappa=0.3677, HD95=144.02, NSD=0.1423
JPCLN029.png: DSC=0.4968, IoU=0.3305, Sens=0.3548, Spec=0.9789, MCC=0.4724, Kappa=0.4189, HD95=116.70, NSD=0.1368
JPCLN030.png: DSC=0.6470, IoU=0.4782, Sens=0.4825, Spec=0.9965, MCC=0.6249, Kappa=0.5680, HD95=117.96, NSD=0.3049
JPCLN031.png: DSC=0.8342, IoU=0.7155, Sens=0.7353, Spec=0.9875, MCC=0.7864, Kappa=0.7729, HD95=14.04, NSD=0.2395
JPCLN032.png: DSC=0.8769, IoU=0.7808, Sens=0.8096, Spec=0.9808, MCC=0.8267, Kappa=0.8206, HD95=11.00, NSD=0.2379
JPCLN033.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN034.png: DSC=0.7786, IoU=0.6375, Sens=0.8564, Spec=0.8466, MCC=0.6725, Kappa=0.6662, HD95=30.59, NSD=0.2316
JPCLN035.png: DSC=0.8781, IoU=0.7826, Sens=0.8091, Spec=0.9806, MCC=0.8239, Kappa=0.8171, HD95=14.13, NSD=0.3705
JPCLN036.png: DSC=0.5112, IoU=0.3433, Sens=0.3786, Spec=0.9437, MCC=0.4100, Kappa=0.3652, HD95=68.16, NSD=0.1591
JPCLN037.png: DSC=0.8133, IoU=0.6854, Sens=0.7071, Spec=0.9888, MCC=0.7748, Kappa=0.7603, HD95=19.24, NSD=0.2838
JPCLN038.png: DSC=0.8896, IoU=0.8011, Sens=0.8405, Spec=0.9826, MCC=0.8560, Kappa=0.8535, HD95=10.63, NSD=0.2962
JPCLN039.png: DSC=0.8056, IoU=0.6745, Sens=0.6867, Spec=0.9925, MCC=0.7635, Kappa=0.7433, HD95=20.12, NSD=0.3127
JPCLN040.png: DSC=0.8458, IoU=0.7328, Sens=0.7732, Spec=0.9671, MCC=0.7746, Kappa=0.7668, HD95=15.03, NSD=0.2608
JPCLN041.png: DSC=0.8939, IoU=0.8082, Sens=0.8376, Spec=0.9824, MCC=0.8515, Kappa=0.8476, HD95=11.15, NSD=0.3054
JPCLN042.png: DSC=0.4831, IoU=0.3185, Sens=0.3385, Spec=0.9829, MCC=0.4703, Kappa=0.4108, HD95=119.02, NSD=0.1711
JPCLN043.png: DSC=0.2042, IoU=0.1137, Sens=0.1696, Spec=0.8034, MCC=-0.0312, Kappa=-0.0301, HD95=50.00, NSD=0.0212
JPCLN044.png: DSC=0.8527, IoU=0.7432, Sens=0.7554, Spec=0.9933, MCC=0.8148, Kappa=0.8026, HD95=14.32, NSD=0.2373
JPCLN045.png: DSC=0.8673, IoU=0.7657, Sens=0.7846, Spec=0.9852, MCC=0.8106, Kappa=0.8003, HD95=15.00, NSD=0.2907
JPCLN046.png: DSC=0.8813, IoU=0.7878, Sens=0.8297, Spec=0.9756, MCC=0.8349, Kappa=0.8317, HD95=10.05, NSD=0.2847
JPCLN047.png: DSC=0.5584, IoU=0.3873, Sens=0.3904, Spec=0.9954, MCC=0.5254, Kappa=0.4404, HD95=139.38, NSD=0.0599
JPCLN048.png: DSC=0.8581, IoU=0.7514, Sens=0.7980, Spec=0.9839, MCC=0.8282, Kappa=0.8246, HD95=27.11, NSD=0.2466
JPCLN049.png: DSC=0.4872, IoU=0.3221, Sens=0.3327, Spec=0.9826, MCC=0.4515, Kappa=0.3712, HD95=133.38, NSD=0.1609
JPCLN050.png: DSC=0.8729, IoU=0.7745, Sens=0.7972, Spec=0.9882, MCC=0.8352, Kappa=0.8283, HD95=14.87, NSD=0.3530
JPCLN051.png: DSC=0.8681, IoU=0.7670, Sens=0.7762, Spec=0.9950, MCC=0.8323, Kappa=0.8216, HD95=14.01, NSD=0.3368
JPCLN052.png: DSC=0.6246, IoU=0.4541, Sens=0.4551, Spec=0.9991, MCC=0.6068, Kappa=0.5398, HD95=105.96, NSD=0.2090
