=== METRICS: train/normal ===

Normal (1407).png: DSC=0.8988, IoU=0.8161, Sens=0.8397, Spec=0.9909, MCC=0.8733, Kappa=0.8698, HD95=11.48, NSD=0.4272
Normal (1408).png: DSC=0.5460, IoU=0.3755, Sens=0.3857, Spec=0.9924, MCC=0.5452, Kappa=0.4792, HD95=111.16, NSD=0.2335
Normal (1409).png: DSC=0.9005, IoU=0.8190, Sens=0.8434, Spec=0.9862, MCC=0.8628, Kappa=0.8588, HD95=11.18, NSD=0.4110
Normal (1410).png: DSC=0.8939, IoU=0.8082, Sens=0.8640, Spec=0.9714, MCC=0.8531, Kappa=0.8521, HD95=13.93, NSD=0.4259
Normal (1411).png: DSC=0.8907, IoU=0.8029, Sens=0.8335, Spec=0.9876, MCC=0.8617, Kappa=0.8583, HD95=9.03, NSD=0.3421
Normal (1412).png: DSC=0.8827, IoU=0.7901, Sens=0.8271, Spec=0.9859, MCC=0.8537, Kappa=0.8505, HD95=9.22, NSD=0.2930
Normal (1413).png: DSC=0.9097, IoU=0.8343, Sens=0.8530, Spec=0.9890, MCC=0.8737, Kappa=0.8696, HD95=10.00, NSD=0.3600
Normal (1414).png: DSC=0.6558, IoU=0.4879, Sens=0.4976, Spec=0.9906, MCC=0.6127, Kappa=0.5597, HD95=122.84, NSD=0.3903
Normal (1415).png: DSC=0.8493, IoU=0.7380, Sens=0.8345, Spec=0.9597, MCC=0.8041, Kappa=0.8039, HD95=22.77, NSD=0.2639
Normal (1416).png: DSC=0.5927, IoU=0.4212, Sens=0.4481, Spec=0.9735, MCC=0.5372, Kappa=0.4916, HD95=114.06, NSD=0.1560
Normal (1417).png: DSC=0.8112, IoU=0.6824, Sens=0.7111, Spec=0.9875, MCC=0.7770, Kappa=0.7650, HD95=15.13, NSD=0.2555
Normal (1418).png: DSC=0.8981, IoU=0.8150, Sens=0.8598, Spec=0.9789, MCC=0.8629, Kappa=0.8613, HD95=9.22, NSD=0.3410
Normal (1419).png: DSC=0.7101, IoU=0.5505, Sens=0.5527, Spec=0.9982, MCC=0.6755, Kappa=0.6291, HD95=26.93, NSD=0.2259
Normal (1420).png: DSC=0.8795, IoU=0.7850, Sens=0.8401, Spec=0.9822, MCC=0.8523, Kappa=0.8509, HD95=8.00, NSD=0.2354
Normal (1421).png: DSC=0.9132, IoU=0.8403, Sens=0.8722, Spec=0.9890, MCC=0.8913, Kappa=0.8897, HD95=8.54, NSD=0.4704
Normal (1422).png: DSC=0.8053, IoU=0.6741, Sens=0.7202, Spec=0.9705, MCC=0.7446, Kappa=0.7349, HD95=16.76, NSD=0.1960
