=== METRICS: train/tb ===

CHNCXR_10_0.png: DSC=0.7701, IoU=0.6261, Sens=0.6357, Spec=0.9972, MCC=0.7603, Kappa=0.7379, HD95=15.78, NSD=0.2643
CHNCXR_11_0.png: DSC=0.7745, IoU=0.6320, Sens=0.6335, Spec=0.9994, MCC=0.7575, Kappa=0.7301, HD95=18.37, NSD=0.2055
CHNCXR_12_0.png: DSC=0.7696, IoU=0.6255, Sens=0.6441, Spec=0.9893, MCC=0.7302, Kappa=0.7075, HD95=21.10, NSD=0.2637
CHNCXR_13_0.png: DSC=0.8051, IoU=0.6737, Sens=0.6747, Spec=0.9996, MCC=0.7861, Kappa=0.7644, HD95=21.21, NSD=0.3033
CHNCXR_14_0.png: DSC=0.7463, IoU=0.5953, Sens=0.5968, Spec=0.9994, MCC=0.7343, Kappa=0.7017, HD95=17.04, NSD=0.2231
CHNCXR_15_0.png: DSC=0.6457, IoU=0.4768, Sens=0.4828, Spec=0.9963, MCC=0.6354, Kappa=0.5831, HD95=42.98, NSD=0.2556
CHNCXR_16_0.png: DSC=0.5921, IoU=0.4206, Sens=0.4208, Spec=0.9999, MCC=0.6049, Kappa=0.5361, HD95=38.44, NSD=0.0889
CHNCXR_17_0.png: DSC=0.7640, IoU=0.6181, Sens=0.6243, Spec=0.9969, MCC=0.7393, Kappa=0.7111, HD95=22.78, NSD=0.2675
CHNCXR_18_0.png: DSC=0.8452, IoU=0.7318, Sens=0.7380, Spec=0.9966, MCC=0.8093, Kappa=0.7941, HD95=14.03, NSD=0.3266
CHNCXR_19_0.png: DSC=0.7892, IoU=0.6518, Sens=0.6595, Spec=0.9960, MCC=0.7588, Kappa=0.7352, HD95=20.46, NSD=0.3414
CHNCXR_1_0.png: DSC=0.5114, IoU=0.3435, Sens=0.3451, Spec=0.9985, MCC=0.5278, Kappa=0.4400, HD95=89.22, NSD=0.1063
CHNCXR_20_0.png: DSC=0.8175, IoU=0.6913, Sens=0.7000, Spec=0.9942, MCC=0.7728, Kappa=0.7525, HD95=25.00, NSD=0.2294
CHNCXR_21_0.png: DSC=0.6483, IoU=0.4796, Sens=0.4815, Spec=0.9987, MCC=0.6358, Kappa=0.5784, HD95=40.47, NSD=0.2239
CHNCXR_22_0.png: DSC=0.6893, IoU=0.5259, Sens=0.5259, Spec=1.0000, MCC=0.6687, Kappa=0.6180, HD95=23.77, NSD=0.1320
CHNCXR_23_0.png: DSC=0.7615, IoU=0.6149, Sens=0.6198, Spec=0.9974, MCC=0.7353, Kappa=0.7053, HD95=17.93, NSD=0.1713
CHNCXR_24_0.png: DSC=0.7616, IoU=0.6150, Sens=0.6225, Spec=0.9965, MCC=0.7393, Kappa=0.7118, HD95=20.92, NSD=0.3025
CHNCXR_26_0.png: DSC=0.8311, IoU=0.7110, Sens=0.7166, Spec=0.9979, MCC=0.8098, Kappa=0.7943, HD95=16.55, NSD=0.3630
