=== METRICS FOR jsrt ===

JPCLN001.png: DSC=0.3611, IoU=0.2203, HD95=291.58
JPCLN002.png: DSC=0.8556, IoU=0.7476, HD95=37.50
JPCLN003.png: DSC=0.5430, IoU=0.3727, HD95=130.80
JPCLN004.png: DSC=0.5662, IoU=0.3949, HD95=189.16
JPCLN005.png: DSC=0.4139, IoU=0.2610, HD95=259.21
JPCLN006.png: DSC=0.8144, IoU=0.6870, HD95=58.23
JPCLN007.png: DSC=0.6598, IoU=0.4923, HD95=116.74
JPCLN008.png: DSC=0.8055, IoU=0.6743, HD95=109.77
JPCLN009.png: DSC=0.2859, IoU=0.1668, HD95=290.83
JPCLN010.png: DSC=0.8438, IoU=0.7299, HD95=50.26
JPCLN011.png: DSC=0.1694, IoU=0.0925, HD95=333.80
JPCLN012.png: DSC=0.4013, IoU=0.2510, HD95=331.29
JPCLN013.png: DSC=0.8323, IoU=0.7128, HD95=31.02
JPCLN014.png: DSC=0.7053, IoU=0.5447, HD95=54.80
JPCLN015.png: DSC=0.3442, IoU=0.2079, HD95=275.53
JPCLN016.png: DSC=0.7406, IoU=0.5880, HD95=109.19
JPCLN017.png: DSC=0.5002, IoU=0.3336, HD95=315.63
JPCLN018.png: DSC=0.7596, IoU=0.6123, HD95=76.91
JPCLN019.png: DSC=0.6118, IoU=0.4407, HD95=73.37
JPCLN020.png: DSC=0.6721, IoU=0.5061, HD95=115.97
JPCLN021.png: DSC=0.8269, IoU=0.7049, HD95=76.82
JPCLN022.png: DSC=0.7011, IoU=0.5397, HD95=63.00
JPCLN023.png: DSC=0.8318, IoU=0.7120, HD95=41.00
JPCLN024.png: DSC=0.9002, IoU=0.8186, HD95=20.62
JPCLN025.png: DSC=0.8587, IoU=0.7523, HD95=26.17
JPCLN026.png: DSC=0.1763, IoU=0.0966, HD95=352.37
JPCLN027.png: DSC=0.6001, IoU=0.4287, HD95=262.57
JPCLN028.png: DSC=0.8691, IoU=0.7685, HD95=37.32
JPCLN029.png: DSC=0.0660, IoU=0.0342, HD95=275.47
JPCLN030.png: DSC=0.8805, IoU=0.7865, HD95=24.83
JPCLN031.png: DSC=0.8757, IoU=0.7789, HD95=24.52
JPCLN032.png: DSC=0.6701, IoU=0.5039, HD95=90.22
JPCLN033.png: DSC=0.0729, IoU=0.0378, HD95=372.57
JPCLN034.png: DSC=0.8170, IoU=0.6906, HD95=58.00
JPCLN035.png: DSC=0.7461, IoU=0.5950, HD95=74.06
JPCLN036.png: DSC=0.8451, IoU=0.7317, HD95=53.95
JPCLN037.png: DSC=0.8667, IoU=0.7648, HD95=44.38
JPCLN038.png: DSC=0.8280, IoU=0.7065, HD95=37.36
JPCLN039.png: DSC=0.7597, IoU=0.6125, HD95=52.41
JPCLN040.png: DSC=0.1140, IoU=0.0604, HD95=364.76
JPCLN041.png: DSC=0.7479, IoU=0.5973, HD95=79.39
JPCLN042.png: DSC=0.3756, IoU=0.2312, HD95=294.74
JPCLN043.png: DSC=0.0893, IoU=0.0468, HD95=392.00
JPCLN044.png: DSC=0.7123, IoU=0.5532, HD95=146.31
JPCLN045.png: DSC=0.3616, IoU=0.2207, HD95=372.56
JPCLN046.png: DSC=0.7375, IoU=0.5841, HD95=96.30
JPCLN047.png: DSC=0.7282, IoU=0.5726, HD95=65.78
JPCLN048.png: DSC=0.8680, IoU=0.7668, HD95=46.43
JPCLN049.png: DSC=0.6213, IoU=0.4506, HD95=133.23
JPCLN050.png: DSC=0.7205, IoU=0.5631, HD95=231.24
JPCLN051.png: DSC=0.9012, IoU=0.8201, HD95=26.93
JPCLN052.png: DSC=0.8921, IoU=0.8052, HD95=20.00
JPCLN053.png: DSC=0.7831, IoU=0.6435, HD95=58.86
JPCLN054.png: DSC=0.7477, IoU=0.5970, HD95=47.92
JPCLN055.png: DSC=0.7365, IoU=0.5830, HD95=87.82
JPCLN056.png: DSC=0.7989, IoU=0.6651, HD95=67.94
JPCLN057.png: DSC=0.6159, IoU=0.4450, HD95=183.13
JPCLN058.png: DSC=0.5071, IoU=0.3397, HD95=135.24
JPCLN059.png: DSC=0.8611, IoU=0.7561, HD95=38.60
JPCLN060.png: DSC=0.7721, IoU=0.6288, HD95=134.87
JPCLN061.png: DSC=0.1989, IoU=0.1105, HD95=300.25
JPCLN062.png: DSC=0.7602, IoU=0.6132, HD95=71.37
JPCLN063.png: DSC=0.4410, IoU=0.2828, HD95=118.00
JPCLN064.png: DSC=0.8408, IoU=0.7253, HD95=69.69
JPCLN065.png: DSC=0.4727, IoU=0.3095, HD95=137.03
JPCLN066.png: DSC=0.7537, IoU=0.6048, HD95=76.95
JPCLN067.png: DSC=0.8441, IoU=0.7303, HD95=40.85
JPCLN068.png: DSC=0.7653, IoU=0.6198, HD95=74.85
JPCLN069.png: DSC=0.8435, IoU=0.7293, HD95=39.00
JPCLN070.png: DSC=0.7202, IoU=0.5627, HD95=206.33
JPCLN071.png: DSC=0.7802, IoU=0.6396, HD95=51.45
JPCLN072.png: DSC=0.5733, IoU=0.4018, HD95=106.56
JPCLN073.png: DSC=0.4814, IoU=0.3170, HD95=122.04
