=== METRICS: train/covid-19 ===

covid_1.png: DSC=0.3094, IoU=0.1830, Sens=0.1830, Spec=1.0000, MCC=0.3986, Kappa=0.2742, HD95=253.78, NSD=0.0000
covid_100.png: DSC=0.3885, IoU=0.2411, Sens=0.2411, Spec=0.9999, MCC=0.4565, Kappa=0.3451, HD95=165.98, NSD=0.1129
covid_101.png: DSC=0.6297, IoU=0.4595, Sens=0.9537, Spec=0.8189, MCC=0.5965, Kappa=0.5410, HD95=92.72, NSD=0.1060
covid_104.png: DSC=0.4182, IoU=0.2643, Sens=0.2653, Spec=0.9982, MCC=0.4314, Kappa=0.3181, HD95=302.68, NSD=0.0338
covid_106.png: DSC=0.2392, IoU=0.1358, Sens=0.1358, Spec=1.0000, MCC=0.3286, Kappa=0.1949, HD95=265.16, NSD=0.0245
covid_107.png: DSC=0.3161, IoU=0.1877, Sens=0.1897, Spec=0.9944, MCC=0.3443, Kappa=0.2261, HD95=331.33, NSD=0.0509
covid_108.png: DSC=0.6021, IoU=0.4308, Sens=0.4653, Spec=0.9744, MCC=0.5562, Kappa=0.5200, HD95=238.02, NSD=0.0828
covid_109.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.9769, MCC=-0.0703, Kappa=-0.0347, HD95=447.22, NSD=0.0000
covid_11.png: DSC=0.4836, IoU=0.3189, Sens=0.3190, Spec=0.9999, MCC=0.4965, Kappa=0.3958, HD95=114.82, NSD=0.0637
covid_111.png: DSC=0.1043, IoU=0.0550, Sens=0.0550, Spec=1.0000, MCC=0.2171, Kappa=0.0900, HD95=244.79, NSD=0.0108
covid_112.png: DSC=0.8280, IoU=0.7065, Sens=0.7160, Spec=0.9965, MCC=0.8061, Kappa=0.7915, HD95=47.41, NSD=0.2238
covid_114.png: DSC=0.3327, IoU=0.1995, Sens=0.1995, Spec=1.0000, MCC=0.4191, Kappa=0.2989, HD95=146.07, NSD=0.0000
covid_115.png: DSC=0.2625, IoU=0.1510, Sens=0.1510, Spec=1.0000, MCC=0.3379, Kappa=0.2049, HD95=317.67, NSD=0.0281
covid_116.png: DSC=0.0539, IoU=0.0277, Sens=0.0292, Spec=0.9649, MCC=-0.0164, Kappa=-0.0071, HD95=417.83, NSD=0.0355
