=== METRICS: train/jsrt ===

JPCLN001.png: DSC=0.2810, IoU=0.1635, Sens=0.1635, Spec=0.9998, MCC=0.3384, Kappa=0.2061, HD95=339.12, NSD=0.1022
JPCLN002.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN003.png: DSC=0.4619, IoU=0.3003, Sens=0.3064, Spec=0.9942, MCC=0.4816, Kappa=0.3959, HD95=271.58, NSD=0.1174
JPCLN004.png: DSC=0.5547, IoU=0.3838, Sens=0.9862, Spec=0.3373, MCC=0.3455, Kappa=0.2232, HD95=153.06, NSD=0.1135
JPCLN005.png: DSC=0.4882, IoU=0.3230, Sens=0.3431, Spec=0.9802, MCC=0.4656, Kappa=0.4054, HD95=265.94, NSD=0.0658
JPCLN006.png: DSC=0.4509, IoU=0.2911, Sens=0.2911, Spec=1.0000, MCC=0.4748, Kappa=0.3680, HD95=174.38, NSD=0.0425
JPCLN007.png: DSC=0.5247, IoU=0.3557, Sens=0.3648, Spec=0.9871, MCC=0.4928, Kappa=0.4150, HD95=94.37, NSD=0.0540
JPCLN008.png: DSC=0.3635, IoU=0.2221, Sens=0.2221, Spec=1.0000, MCC=0.3844, Kappa=0.2575, HD95=215.61, NSD=0.0093
JPCLN009.png: DSC=0.2560, IoU=0.1468, Sens=0.1469, Spec=0.9996, MCC=0.3262, Kappa=0.1937, HD95=332.17, NSD=0.0509
JPCLN010.png: DSC=0.2287, IoU=0.1291, Sens=0.1294, Spec=0.9993, MCC=0.3138, Kappa=0.1824, HD95=277.45, NSD=0.0187
JPCLN011.png: DSC=0.4016, IoU=0.2513, Sens=0.2518, Spec=0.9991, MCC=0.4324, Kappa=0.3176, HD95=386.59, NSD=0.0225
JPCLN012.png: DSC=0.3460, IoU=0.2092, Sens=0.2092, Spec=1.0000, MCC=0.3913, Kappa=0.2656, HD95=368.68, NSD=0.0018
JPCLN013.png: DSC=0.3813, IoU=0.2355, Sens=0.2356, Spec=1.0000, MCC=0.4267, Kappa=0.3081, HD95=180.37, NSD=0.0388
JPCLN014.png: DSC=0.4085, IoU=0.2567, Sens=0.2567, Spec=1.0000, MCC=0.4408, Kappa=0.3254, HD95=139.74, NSD=0.0125
JPCLN015.png: DSC=0.3365, IoU=0.2023, Sens=0.2023, Spec=0.9999, MCC=0.3904, Kappa=0.2649, HD95=300.00, NSD=0.0443
JPCLN016.png: DSC=0.2084, IoU=0.1163, Sens=0.1163, Spec=1.0000, MCC=0.2971, Kappa=0.1622, HD95=396.35, NSD=0.0000
JPCLN017.png: DSC=0.2322, IoU=0.1313, Sens=0.1315, Spec=0.9995, MCC=0.3069, Kappa=0.1740, HD95=353.30, NSD=0.0511
JPCLN018.png: DSC=0.3478, IoU=0.2105, Sens=0.2105, Spec=1.0000, MCC=0.3526, Kappa=0.2211, HD95=219.29, NSD=0.0000
JPCLN019.png: DSC=0.4828, IoU=0.3182, Sens=0.3183, Spec=0.9999, MCC=0.4888, Kappa=0.3859, HD95=86.39, NSD=0.0643
JPCLN020.png: DSC=0.1820, IoU=0.1001, Sens=0.1005, Spec=0.9985, MCC=0.2578, Kappa=0.1299, HD95=263.57, NSD=0.0114
JPCLN021.png: DSC=0.1076, IoU=0.0569, Sens=0.0631, Spec=0.9457, MCC=0.0180, Kappa=0.0112, HD95=199.46, NSD=0.0000
JPCLN022.png: DSC=0.4776, IoU=0.3137, Sens=0.3139, Spec=0.9998, MCC=0.4887, Kappa=0.3861, HD95=91.80, NSD=0.0386
JPCLN023.png: DSC=0.2819, IoU=0.1641, Sens=0.1641, Spec=0.9999, MCC=0.3400, Kappa=0.2077, HD95=255.95, NSD=0.0967
JPCLN024.png: DSC=0.3226, IoU=0.1923, Sens=0.1925, Spec=0.9996, MCC=0.3815, Kappa=0.2555, HD95=202.00, NSD=0.0525
JPCLN025.png: DSC=0.3389, IoU=0.2040, Sens=0.2042, Spec=0.9997, MCC=0.3978, Kappa=0.2744, HD95=158.28, NSD=0.0412
JPCLN026.png: DSC=0.3613, IoU=0.2205, Sens=0.2223, Spec=0.9957, MCC=0.3838, Kappa=0.2675, HD95=377.80, NSD=0.0482
JPCLN027.png: DSC=0.4847, IoU=0.3199, Sens=0.3201, Spec=0.9995, MCC=0.4795, Kappa=0.3748, HD95=120.14, NSD=0.0574
JPCLN028.png: DSC=0.2552, IoU=0.1463, Sens=0.1463, Spec=1.0000, MCC=0.3064, Kappa=0.1716, HD95=308.57, NSD=0.0331
JPCLN029.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN030.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN031.png: DSC=0.3352, IoU=0.2013, Sens=0.2024, Spec=0.9976, MCC=0.3766, Kappa=0.2554, HD95=169.71, NSD=0.0466
JPCLN032.png: DSC=0.3207, IoU=0.1910, Sens=0.1910, Spec=1.0000, MCC=0.3666, Kappa=0.2370, HD95=265.81, NSD=0.0230
JPCLN033.png: DSC=0.6273, IoU=0.4570, Sens=0.9348, Spec=0.5553, MCC=0.4561, Kappa=0.3824, HD95=140.65, NSD=0.1035
JPCLN034.png: DSC=0.2022, IoU=0.1125, Sens=0.1225, Spec=0.9603, MCC=0.1548, Kappa=0.1059, HD95=339.50, NSD=0.0365
JPCLN035.png: DSC=0.3285, IoU=0.1966, Sens=0.1966, Spec=1.0000, MCC=0.3668, Kappa=0.2372, HD95=297.82, NSD=0.0089
JPCLN036.png: DSC=0.3907, IoU=0.2428, Sens=0.2481, Spec=0.9879, MCC=0.3838, Kappa=0.2827, HD95=125.72, NSD=0.0666
JPCLN037.png: DSC=0.3357, IoU=0.2017, Sens=0.2018, Spec=0.9999, MCC=0.3963, Kappa=0.2720, HD95=173.68, NSD=0.0581
JPCLN038.png: DSC=0.4576, IoU=0.2967, Sens=0.2967, Spec=1.0000, MCC=0.4873, Kappa=0.3837, HD95=148.50, NSD=0.0068
