=== METRICS: train/normal ===

Normal (1407).png: DSC=0.1917, IoU=0.1060, Sens=0.1061, Spec=0.9996, MCC=0.2853, Kappa=0.1523, HD95=353.12, NSD=0.0455
Normal (1408).png: DSC=0.2521, IoU=0.1442, Sens=0.1442, Spec=1.0000, MCC=0.3410, Kappa=0.2083, HD95=295.26, NSD=0.0134
Normal (1409).png: DSC=0.3404, IoU=0.2051, Sens=0.2051, Spec=1.0000, MCC=0.3871, Kappa=0.2607, HD95=154.23, NSD=0.0200
Normal (1410).png: DSC=0.5289, IoU=0.3595, Sens=0.9644, Spec=0.3034, MCC=0.2918, Kappa=0.1806, HD95=137.31, NSD=0.1194
Normal (1411).png: DSC=0.3865, IoU=0.2395, Sens=0.2395, Spec=1.0000, MCC=0.4382, Kappa=0.3221, HD95=193.01, NSD=0.0250
Normal (1412).png: DSC=0.2631, IoU=0.1515, Sens=0.1517, Spec=0.9997, MCC=0.3457, Kappa=0.2151, HD95=329.31, NSD=0.0955
Normal (1413).png: DSC=0.3564, IoU=0.2168, Sens=0.2168, Spec=1.0000, MCC=0.3958, Kappa=0.2708, HD95=213.22, NSD=0.0036
Normal (1414).png: DSC=0.2668, IoU=0.1539, Sens=0.1539, Spec=1.0000, MCC=0.3317, Kappa=0.1983, HD95=210.76, NSD=0.0178
Normal (1415).png: DSC=0.3394, IoU=0.2044, Sens=0.2044, Spec=1.0000, MCC=0.4051, Kappa=0.2819, HD95=276.52, NSD=0.0291
Normal (1416).png: DSC=0.2286, IoU=0.1291, Sens=0.1296, Spec=0.9984, MCC=0.3006, Kappa=0.1714, HD95=288.08, NSD=0.1065
Normal (1417).png: DSC=0.2453, IoU=0.1398, Sens=0.1398, Spec=0.9999, MCC=0.3333, Kappa=0.2003, HD95=286.73, NSD=0.0186
Normal (1418).png: DSC=0.2845, IoU=0.1658, Sens=0.1658, Spec=1.0000, MCC=0.3543, Kappa=0.2232, HD95=331.99, NSD=0.0992
Normal (1419).png: DSC=0.2302, IoU=0.1301, Sens=0.1301, Spec=1.0000, MCC=0.3068, Kappa=0.1721, HD95=196.40, NSD=0.0000
Normal (1420).png: DSC=0.8855, IoU=0.7945, Sens=0.8444, Spec=0.9842, MCC=0.8599, Kappa=0.8583, HD95=18.00, NSD=0.1317
Normal (1421).png: DSC=0.5353, IoU=0.3655, Sens=0.3655, Spec=1.0000, MCC=0.5557, Kappa=0.4719, HD95=156.83, NSD=0.0013
Normal (1422).png: DSC=0.1517, IoU=0.0821, Sens=0.0821, Spec=1.0000, MCC=0.2425, Kappa=0.1111, HD95=306.15, NSD=0.0190
Normal (1423).png: DSC=0.7110, IoU=0.5516, Sens=0.8498, Spec=0.8461, MCC=0.6260, Kappa=0.6106, HD95=78.58, NSD=0.1422
Normal (1424).png: DSC=0.2253, IoU=0.1270, Sens=0.1273, Spec=0.9989, MCC=0.2990, Kappa=0.1679, HD95=270.88, NSD=0.0585
Normal (1425).png: DSC=0.3907, IoU=0.2428, Sens=0.2428, Spec=1.0000, MCC=0.4367, Kappa=0.3203, HD95=141.50, NSD=0.0213
Normal (1426).png: DSC=0.1381, IoU=0.0742, Sens=0.0742, Spec=1.0000, MCC=0.2306, Kappa=0.1010, HD95=342.46, NSD=0.0000
Normal (1427).png: DSC=0.2351, IoU=0.1332, Sens=0.1332, Spec=1.0000, MCC=0.3126, Kappa=0.1780, HD95=367.29, NSD=0.0241
Normal (1428).png: DSC=0.2736, IoU=0.1585, Sens=0.1609, Spec=0.9958, MCC=0.3373, Kappa=0.2241, HD95=226.07, NSD=0.0504
Normal (1429).png: DSC=0.7839, IoU=0.6446, Sens=0.6716, Spec=0.9921, MCC=0.7653, Kappa=0.7509, HD95=57.28, NSD=0.1691
Normal (1430).png: DSC=0.1672, IoU=0.0912, Sens=0.0913, Spec=0.9997, MCC=0.2467, Kappa=0.1158, HD95=370.16, NSD=0.0733
Normal (1431).png: DSC=0.2164, IoU=0.1213, Sens=0.1227, Spec=0.9971, MCC=0.2960, Kappa=0.1766, HD95=285.24, NSD=0.0887
Normal (1432).png: DSC=0.1509, IoU=0.0816, Sens=0.0818, Spec=0.9995, MCC=0.2461, Kappa=0.1167, HD95=271.82, NSD=0.1568
Normal (1433).png: DSC=0.2899, IoU=0.1695, Sens=0.1697, Spec=0.9997, MCC=0.3589, Kappa=0.2294, HD95=252.00, NSD=0.1014
Normal (1434).png: DSC=0.3594, IoU=0.2190, Sens=0.2190, Spec=1.0000, MCC=0.4300, Kappa=0.3120, HD95=192.82, NSD=0.0056
Normal (1435).png: DSC=0.3621, IoU=0.2211, Sens=0.2214, Spec=0.9995, MCC=0.4184, Kappa=0.3000, HD95=254.00, NSD=0.0874
Normal (1436).png: DSC=0.3054, IoU=0.1802, Sens=0.1807, Spec=0.9992, MCC=0.3744, Kappa=0.2491, HD95=239.78, NSD=0.0996
Normal (1437).png: DSC=0.0889, IoU=0.0465, Sens=0.0465, Spec=1.0000, MCC=0.1816, Kappa=0.0638, HD95=237.54, NSD=0.0000
Normal (1438).png: DSC=0.3042, IoU=0.1794, Sens=0.1794, Spec=0.9999, MCC=0.3690, Kappa=0.2400, HD95=177.71, NSD=0.0607
Normal (1439).png: DSC=0.2548, IoU=0.1460, Sens=0.1468, Spec=0.9976, MCC=0.3169, Kappa=0.1905, HD95=338.27, NSD=0.0818
Normal (1440).png: DSC=0.8058, IoU=0.6748, Sens=0.7391, Spec=0.9695, MCC=0.7559, Kappa=0.7508, HD95=57.07, NSD=0.1824
Normal (1441).png: DSC=0.2925, IoU=0.1713, Sens=0.1714, Spec=0.9999, MCC=0.3673, Kappa=0.2382, HD95=209.03, NSD=0.0278
Normal (1442).png: DSC=0.3053, IoU=0.1802, Sens=0.1802, Spec=0.9999, MCC=0.3671, Kappa=0.2379, HD95=173.09, NSD=0.0619
Normal (1443).png: DSC=0.2528, IoU=0.1447, Sens=0.1447, Spec=1.0000, MCC=0.3261, Kappa=0.1923, HD95=323.01, NSD=0.0340
Normal (1444).png: DSC=0.2973, IoU=0.1746, Sens=0.1747, Spec=0.9999, MCC=0.3629, Kappa=0.2330, HD95=318.59, NSD=0.0688
Normal (1445).png: DSC=0.4252, IoU=0.2700, Sens=0.2700, Spec=1.0000, MCC=0.4791, Kappa=0.3734, HD95=132.04, NSD=0.1220
Normal (1446).png: DSC=0.2955, IoU=0.1733, Sens=0.1734, Spec=1.0000, MCC=0.3903, Kappa=0.2646, HD95=264.94, NSD=0.0591
Normal (1447).png: DSC=0.2550, IoU=0.1461, Sens=0.1461, Spec=1.0000, MCC=0.3122, Kappa=0.1777, HD95=305.17, NSD=0.0012
Normal (1448).png: DSC=0.2119, IoU=0.1185, Sens=0.1188, Spec=0.9993, MCC=0.3062, Kappa=0.1753, HD95=306.07, NSD=0.0939
Normal (1449).png: DSC=0.3433, IoU=0.2073, Sens=0.2073, Spec=1.0000, MCC=0.3969, Kappa=0.2722, HD95=213.72, NSD=0.0310
Normal (1450).png: DSC=0.2029, IoU=0.1129, Sens=0.1130, Spec=0.9993, MCC=0.2777, Kappa=0.1454, HD95=326.74, NSD=0.0861
Normal (1451).png: DSC=0.2377, IoU=0.1349, Sens=0.1349, Spec=1.0000, MCC=0.3207, Kappa=0.1866, HD95=185.54, NSD=0.0403
Normal (1452).png: DSC=0.3568, IoU=0.2172, Sens=0.2172, Spec=1.0000, MCC=0.4128, Kappa=0.2912, HD95=216.16, NSD=0.0000
Normal (1453).png: DSC=0.2213, IoU=0.1244, Sens=0.1244, Spec=1.0000, MCC=0.2980, Kappa=0.1631, HD95=253.20, NSD=0.0019
Normal (1454).png: DSC=0.1464, IoU=0.0790, Sens=0.0792, Spec=0.9995, MCC=0.2533, Kappa=0.1248, HD95=160.55, NSD=0.0252
Normal (1455).png: DSC=0.3036, IoU=0.1790, Sens=0.1840, Spec=0.9908, MCC=0.3384, Kappa=0.2378, HD95=254.11, NSD=0.0597
Normal (1456).png: DSC=0.1231, IoU=0.0656, Sens=0.0656, Spec=0.9997, MCC=0.2202, Kappa=0.0940, HD95=342.21, NSD=0.0634
Normal (1457).png: DSC=0.4192, IoU=0.2652, Sens=0.2658, Spec=0.9990, MCC=0.4427, Kappa=0.3304, HD95=164.01, NSD=0.0966
Normal (1458).png: DSC=0.6888, IoU=0.5254, Sens=0.5436, Spec=0.9862, MCC=0.6447, Kappa=0.6069, HD95=89.88, NSD=0.1431
Normal (1459).png: DSC=0.3463, IoU=0.2094, Sens=0.2094, Spec=1.0000, MCC=0.4090, Kappa=0.2867, HD95=133.42, NSD=0.0263
Normal (1460).png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.9921, MCC=-0.0482, Kappa=-0.0111, HD95=352.68, NSD=0.0000
Normal (1461).png: DSC=0.2530, IoU=0.1448, Sens=0.1448, Spec=1.0000, MCC=0.3209, Kappa=0.1867, HD95=219.34, NSD=0.0000
Normal (1462).png: DSC=0.1506, IoU=0.0814, Sens=0.0814, Spec=1.0000, MCC=0.2536, Kappa=0.1209, HD95=315.39, NSD=0.0000
