=== METRICS: train/tb ===

CHNCXR_10_0.png: DSC=0.3384, IoU=0.2037, Sens=0.2037, Spec=1.0000, MCC=0.4211, Kappa=0.3016, HD95=245.41, NSD=0.0374
CHNCXR_11_0.png: DSC=0.3140, IoU=0.1863, Sens=0.1863, Spec=1.0000, MCC=0.3910, Kappa=0.2652, HD95=136.78, NSD=0.0000
CHNCXR_12_0.png: DSC=0.3174, IoU=0.1887, Sens=0.1918, Spec=0.9941, MCC=0.3595, Kappa=0.2492, HD95=190.28, NSD=0.0400
CHNCXR_13_0.png: DSC=0.4468, IoU=0.2877, Sens=0.2877, Spec=1.0000, MCC=0.4908, Kappa=0.3883, HD95=89.64, NSD=0.0000
CHNCXR_14_0.png: DSC=0.2668, IoU=0.1539, Sens=0.1539, Spec=1.0000, MCC=0.3565, Kappa=0.2256, HD95=157.65, NSD=0.0284
CHNCXR_15_0.png: DSC=0.3389, IoU=0.2040, Sens=0.2042, Spec=0.9997, MCC=0.4056, Kappa=0.2837, HD95=193.22, NSD=0.0348
CHNCXR_16_0.png: DSC=0.4043, IoU=0.2533, Sens=0.2534, Spec=1.0000, MCC=0.4612, Kappa=0.3508, HD95=120.43, NSD=0.0284
CHNCXR_17_0.png: DSC=0.3755, IoU=0.2311, Sens=0.2313, Spec=0.9998, MCC=0.4314, Kappa=0.3147, HD95=208.97, NSD=0.0624
CHNCXR_18_0.png: DSC=0.3022, IoU=0.1780, Sens=0.1781, Spec=0.9997, MCC=0.3638, Kappa=0.2347, HD95=329.68, NSD=0.1128
CHNCXR_19_0.png: DSC=0.2590, IoU=0.1487, Sens=0.1490, Spec=0.9994, MCC=0.3367, Kappa=0.2062, HD95=335.39, NSD=0.0887
CHNCXR_1_0.png: DSC=0.3157, IoU=0.1874, Sens=0.1874, Spec=1.0000, MCC=0.3849, Kappa=0.2580, HD95=143.85, NSD=0.0000
CHNCXR_20_0.png: DSC=0.3149, IoU=0.1869, Sens=0.1869, Spec=0.9998, MCC=0.3680, Kappa=0.2392, HD95=319.90, NSD=0.0266
CHNCXR_21_0.png: DSC=0.3274, IoU=0.1958, Sens=0.1967, Spec=0.9984, MCC=0.3853, Kappa=0.2648, HD95=310.88, NSD=0.0839
CHNCXR_22_0.png: DSC=0.2778, IoU=0.1613, Sens=0.1613, Spec=1.0000, MCC=0.3508, Kappa=0.2192, HD95=193.16, NSD=0.0067
CHNCXR_23_0.png: DSC=0.2009, IoU=0.1117, Sens=0.1117, Spec=0.9999, MCC=0.2938, Kappa=0.1592, HD95=216.83, NSD=0.0365
CHNCXR_24_0.png: DSC=0.2952, IoU=0.1732, Sens=0.1734, Spec=0.9997, MCC=0.3725, Kappa=0.2454, HD95=172.29, NSD=0.0716
CHNCXR_26_0.png: DSC=0.2846, IoU=0.1659, Sens=0.1659, Spec=1.0000, MCC=0.3679, Kappa=0.2384, HD95=218.56, NSD=0.0343
CHNCXR_27_0.png: DSC=0.2939, IoU=0.1723, Sens=0.1723, Spec=1.0000, MCC=0.3777, Kappa=0.2497, HD95=220.60, NSD=0.0166
CHNCXR_28_0.png: DSC=0.3339, IoU=0.2004, Sens=0.2016, Spec=0.9971, MCC=0.3720, Kappa=0.2512, HD95=229.94, NSD=0.0644
CHNCXR_29_0.png: DSC=0.2385, IoU=0.1354, Sens=0.1354, Spec=1.0000, MCC=0.3411, Kappa=0.2084, HD95=243.99, NSD=0.0000
CHNCXR_2_0.png: DSC=0.2831, IoU=0.1649, Sens=0.1649, Spec=1.0000, MCC=0.3658, Kappa=0.2361, HD95=201.18, NSD=0.0180
CHNCXR_30_0.png: DSC=0.3332, IoU=0.1999, Sens=0.2000, Spec=0.9999, MCC=0.3764, Kappa=0.2486, HD95=259.42, NSD=0.0595
CHNCXR_31_0.png: DSC=0.2124, IoU=0.1188, Sens=0.1188, Spec=1.0000, MCC=0.3030, Kappa=0.1682, HD95=199.45, NSD=0.0240
