Epoch,Train Loss,Train Dice (DSC),Train IoU (Jaccard),Val Loss,Val Dice (DSC),Val IoU (Jaccard),Learning Rate
1,0.12052622872348276,0.8962914973256185,0.8339776995111976,0.04920838559165618,0.9599864029061913,0.9251355102887194,0.01
2,0.048818778473219374,0.9599189983182969,0.9250397116088918,0.0412705034841578,0.9655955453134363,0.9351948936116136,0.01
3,0.04283858779665443,0.9645226076205557,0.9332345122070302,0.03919972166727704,0.967253649556959,0.9382289029753225,0.01
4,0.03978385196453139,0.9670405082170085,0.9375887484328297,0.03783187792692095,0.9683459669266792,0.9399173467461109,0.01
5,0.037743474940169636,0.968634086328958,0.9404311147784288,0.034466870557675784,0.9711630964813327,0.9451277096826016,0.01
6,0.037585892088985544,0.9688318309549884,0.9408013595925009,0.033684644231752915,0.9718260319524605,0.9462603921359498,0.01
7,0.03537399499330464,0.9704911774128713,0.9436962530533657,0.03355154193570813,0.9723287449028889,0.9471908829163013,0.01
8,0.034689542889282325,0.9710235915085652,0.9446781732827007,0.03159214185112306,0.9736216799336171,0.9495929468152873,0.01
9,0.03405535465284252,0.9715423029702519,0.9456187987187654,0.03208533156885743,0.9731672146539091,0.9487011596496888,0.01
10,0.033307060271053686,0.9721756126349366,0.9467358511579264,0.03183525610797287,0.9733594697747766,0.9491050090974629,0.01
11,0.03281336567090851,0.972548968815706,0.9474328653722943,0.03116281095933259,0.9738096478865462,0.9498703488881354,0.01
12,0.03236290857543009,0.9728739751990148,0.9480007345006917,0.030535371343182613,0.974282345616631,0.9507315448812537,0.01
13,0.03216376085554485,0.9730873324895232,0.9484256404204744,0.03044892390454678,0.9744934334312361,0.951160126886361,0.01
14,0.03160612164080148,0.9734741212866728,0.9490878017224728,0.02997396828902814,0.9747575710966102,0.9516176748835345,0.01
15,0.031365109262906817,0.9737165025093367,0.9495176547111702,0.029444051281168823,0.9752953022845608,0.9526312349107153,0.01
16,0.03102483649370606,0.973979119079596,0.9500036949092079,0.030947602005572103,0.973929151892662,0.9500306660937381,0.01
17,0.030729114648074617,0.9742728831631082,0.9505269430973936,0.029538207692736667,0.9752065716563044,0.9524165462082514,0.01
18,0.030453231480656973,0.9744645190603598,0.9508855304916453,0.029492334960820748,0.9752730949971279,0.9525919306710638,0.01
19,0.030233568229508657,0.9746275234854181,0.9511767890070462,0.02975789583149031,0.9750261200568076,0.9521168505992862,0.01
20,0.02985317061141613,0.9749440192837064,0.9517389927685483,0.029150591678003306,0.9756602687949307,0.953302787958643,0.01
21,0.02955836765405182,0.9751588601500416,0.952146923416941,0.02956399230692525,0.9752522353215374,0.9525421606019076,0.01
22,0.029548541478754395,0.9751981737964331,0.9522068853927808,0.028888874661089962,0.9757790274250389,0.9535012284815735,0.01
23,0.029873959941744126,0.9749346126149859,0.9517598747147077,0.028761807997057885,0.9759395733412095,0.9538201171464974,0.01
24,0.029139408282074356,0.975511601964244,0.9527761326679106,0.029142109631821726,0.9756392148743314,0.9533029265203652,0.01
25,0.028967950567960865,0.9756833039503727,0.9531079852536504,0.02868840600341389,0.9759786266775253,0.9538545649005882,0.01
26,0.028713919037846022,0.9758787454605611,0.953442106441143,0.030136225971785422,0.9748766977832802,0.9519633283019914,0.01
27,0.02866966513330198,0.97592270014953,0.9535364728581963,0.029588829368620496,0.9753027862708904,0.9526432548910592,0.01
28,0.028436185829685916,0.9760964829875506,0.9538456302784779,0.0290271537643387,0.9758856054050994,0.9537223005193056,0.01
29,0.02826926510210629,0.9762453973961114,0.9541283180742062,0.028643415558216815,0.9760572944223287,0.9540499888392295,0.01
30,0.028051734452286415,0.9764294803895158,0.9544483649440239,0.028671587425731865,0.9759842889915998,0.9538774591463898,0.01
31,0.02784474695022873,0.9765719990914304,0.9547103759064998,0.028282946997400304,0.9763452346472449,0.9545652949453927,0.01
32,0.02767620648905203,0.9767253187104262,0.9549954398531051,0.02978718107013803,0.9750470015224318,0.9521613242912768,0.01
