Epoch,Train Loss,Val Loss,Val Global Accuracy,Val Dice (DSC),Val IoU (Jaccard),Learning Rate
1,0.06622307332270765,0.027826237192687533,0.98754265969617,0.972359207899044,0.9470582912793336,1e-05
2,0.027560676410948656,0.02584765335120777,0.9884908665524851,0.9742264365878162,0.9506680168933701,1e-05
3,0.02541104132695981,0.02490033592575024,0.9889345595344211,0.9751481291694958,0.9523139887420972,1e-05
4,0.023953770132293193,0.024541551084691908,0.988938547226517,0.9754886547733556,0.9529272469539892,1e-05
5,0.0229083617560303,0.023692751339770342,0.989401674149856,0.9763360764610858,0.954537798629333,1e-05
6,0.02204205605282697,0.024320843731399068,0.9891049294270817,0.975701542348596,0.9534602252989081,1e-05
7,0.021175672210308638,0.023739694849071815,0.9894566541164942,0.9762790980095856,0.954465601559803,1e-05
8,0.02033098275667507,0.023562470532056512,0.9895808546877445,0.9764496361690541,0.9548172269847682,1e-05
9,0.01972670530273759,0.0231215698554882,0.9896572380194377,0.976893585081779,0.9555299666011331,1e-05
10,0.01900908919816848,0.023144400424461004,0.9895989577149346,0.9768665876499442,0.9554640239020138,1e-05
11,0.018465266115457374,0.023180897859502655,0.9896253811689997,0.976831607258103,0.9553968804156536,1e-05
12,0.017836249364621897,0.022932879007441807,0.9897118786801508,0.977077001927499,0.9558336874896854,1e-05
13,0.017358170699172927,0.023022039554757564,0.9896679942492047,0.9769879707454564,0.9556760943048482,1e-05
14,0.01683157837503439,0.023543061911991164,0.989523502777393,0.9764644571803227,0.9547296246981637,1e-05
15,0.016551858141431605,0.023948578016016304,0.9891696103069877,0.9760613123475201,0.954252174338135,1e-05
16,0.01613240069901644,0.023035759918156675,0.9896220312452305,0.9769706277426777,0.9556364490775614,1e-05
17,0.015771127875268996,0.022674320879384393,0.9898569815421802,0.9773302866708236,0.9563176412064168,1e-05
18,0.015485002784281042,0.022664909384202882,0.9898004547368813,0.9773434120033733,0.9563118600499485,1e-05
19,0.015132015726683245,0.022709664471160972,0.9897797306149944,0.9772971171457702,0.9562342944245116,1e-05
