Dataset,Image,Preprocessing,Model,IoU,Dice
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3252.png,none,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3252.png,none,ResUNet,0.3126751790718915,0.4763938315539174
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3252.png,none,ResNet34,0.01439690466549044,0.028385151017861186
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3252.png,none,DeepLabV3+,0.0002818489289739375,0.0005635390250772219
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3252.png,none,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3252.png,none,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3917.png,none,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3917.png,none,ResUNet,0.2104637703526182,0.3477407180742111
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3917.png,none,ResNet34,0.0008220304151248769,0.001642710472278297
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3917.png,none,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3917.png,none,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3917.png,none,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3661.png,none,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3661.png,none,ResUNet,0.42534146870250794,0.5968274663189269
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3661.png,none,ResNet34,0.06185047553062233,0.11649564031077868
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3661.png,none,DeepLabV3+,0.005489714857750028,0.010919484857240286
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3661.png,none,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3661.png,none,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1269.png,none,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1269.png,none,ResUNet,0.5042252220357252,0.6704118700434208
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1269.png,none,ResNet34,0.06539437513214597,0.12276087927352684
